# M/Ms Teff L/Ls g R/Rs Li/Li0 F33 F33B F41 F45B F47 F51 FHa F57 F63B F67 F75 F78 F82 F82B F89 G_RSV G G_BP G_RP Age Z
0.04 1940.0 -3.78 4.93 0.114 1.0 27.324 27.324 25.542 23.47 23.325 22.349 18.703 21.358 19.246 18.389 17.452 17.214 16.09 16.228 15.026 15.712 17.736 21.298 16.121 8.301029995663981 0.0152
0.05 2268.0 -3.48 5.0 0.118 0.986 23.179 23.179 24.032 22.083 21.864 21.079 17.738 19.873 18.228 17.392 15.846 15.714 14.364 14.612 13.428 14.279 16.207 20.102 14.577 8.301029995663981 0.0152
0.06 2488.0 -3.28 5.03 0.123 0.466 22.84 22.84 22.152 20.165 19.839 19.314 16.712 18.544 17.143 16.327 14.376 14.458 13.245 13.515 12.51 13.207 15.191 18.854 13.608 8.301029995663981 0.0152
0.07 2639.0 -3.14 5.06 0.129 0.0 21.052 21.052 20.452 18.777 18.472 17.96 15.898 17.477 16.279 15.505 13.467 13.606 12.595 12.836 11.978 12.521 14.54 17.803 13.004 8.301029995663981 0.0152
0.072 2664.0 -3.11 5.06 0.131 0.0 20.763 20.763 20.15 18.492 18.206 17.649 15.738 17.262 16.108 15.347 13.317 13.464 12.49 12.722 11.889 12.407 14.427 17.582 12.901 8.301029995663981 0.0152
0.075 2698.0 -3.08 5.07 0.132 0.0 20.375 20.375 19.745 18.109 17.849 17.233 15.52 16.972 15.876 15.131 13.112 13.272 12.348 12.568 11.767 12.253 14.272 17.284 12.761 8.301029995663981 0.0152
0.08 2756.0 -3.02 5.08 0.136 0.0 19.733 19.733 19.071 17.578 17.322 16.734 15.081 16.443 15.448 14.74 12.803 12.931 12.095 12.304 11.567 11.982 14.0 16.774 12.518 8.301029995663981 0.0152
0.09 2853.0 -2.91 5.08 0.143 0.0 18.885 18.885 18.211 16.951 16.671 16.216 14.453 15.747 14.844 14.17 12.349 12.428 11.697 11.895 11.233 11.567 13.581 16.114 12.132 8.301029995663981 0.0152
0.1 2926.0 -2.83 5.08 0.151 0.0 18.346 18.346 17.679 16.555 16.253 15.904 14.032 15.303 14.435 13.778 12.031 12.082 11.406 11.597 10.974 11.268 13.272 15.69 11.844 8.301029995663981 0.0152
0.11 2982.0 -2.75 5.08 0.158 0.0 17.861 17.861 17.192 16.125 15.826 15.497 13.679 14.903 14.083 13.447 11.76 11.795 11.165 11.348 10.759 11.021 13.009 15.291 11.601 8.301029995663981 0.0152
0.13 3076.0 -2.62 5.07 0.173 0.0 16.952 16.952 15.994 15.111 14.881 14.47 12.963 13.997 13.342 12.784 11.281 11.28 10.754 10.913 10.394 10.595 12.507 14.387 11.171 8.301029995663981 0.0152
0.15 3144.0 -2.51 5.07 0.188 0.0 16.37 16.37 15.346 14.524 14.315 13.88 12.469 13.422 12.84 12.32 10.935 10.911 10.443 10.59 10.11 10.278 12.139 13.821 10.847 8.301029995663981 0.0152
0.17 3198.0 -2.41 5.05 0.203 0.0 15.927 15.927 14.935 14.127 13.917 13.488 12.08 13.0 12.449 11.95 10.644 10.603 10.174 10.312 9.858 10.006 11.831 13.413 10.567 8.301029995663981 0.0152
0.2 3264.0 -2.28 5.03 0.226 0.0 15.402 15.402 14.441 13.642 13.429 13.011 11.616 12.501 11.981 11.5 10.274 10.22 9.826 9.956 9.527 9.66 11.441 12.923 10.208 8.301029995663981 0.0152
0.3 3414.0 -1.98 4.98 0.294 0.0 14.236 14.236 13.334 12.55 12.331 11.931 10.559 11.372 10.91 10.468 9.415 9.335 9.01 9.124 8.747 8.847 10.526 11.815 9.363 8.301029995663981 0.0152
0.4 3537.0 -1.73 4.92 0.365 0.0 13.364 13.364 12.487 11.7 11.47 11.09 9.744 10.502 10.08 9.665 8.731 8.639 8.36 8.463 8.121 8.203 9.796 10.957 8.689 8.301029995663981 0.0152
0.5 3701.0 -1.46 4.82 0.453 0.0 12.425 12.425 11.564 10.756 10.507 10.155 8.84 9.527 9.151 8.771 7.994 7.888 7.662 7.751 7.453 7.516 8.988 10.0 7.956 8.301029995663981 0.0152
0.6 3981.0 -1.17 4.74 0.547 0.0 11.352 11.352 10.521 9.68 9.402 9.097 7.834 8.43 8.11 7.773 7.214 7.098 6.936 7.007 6.764 6.807 8.089 8.918 7.172 8.301029995663981 0.0152
0.7 4390.0 -0.88 4.68 0.63 0.0 9.911 9.911 9.266 8.543 8.245 8.075 6.778 7.343 7.048 6.737 6.421 6.309 6.2 6.255 6.068 6.096 7.15 7.808 6.362 8.301029995663981 0.0152
0.8 4824.0 -0.61 4.64 0.711 0.004 8.346 8.346 7.987 7.417 7.177 6.983 5.95 6.421 6.184 5.924 5.692 5.601 5.516 5.56 5.415 5.429 6.314 6.827 5.644 8.301029995663981 0.0152
0.9 5207.0 -0.37 4.58 0.804 0.082 7.14 7.14 6.998 6.542 6.356 6.131 5.296 5.698 5.501 5.276 5.079 5.0 4.927 4.968 4.852 4.855 5.63 6.057 5.041 8.301029995663981 0.0152
1.0 5567.0 -0.15 4.52 0.907 0.307 6.146 6.146 6.169 5.804 5.659 5.435 4.728 5.082 4.911 4.712 4.539 4.472 4.404 4.443 4.352 4.347 5.035 5.397 4.51 8.301029995663981 0.0152
1.1 5895.0 0.06 4.46 1.024 0.574 5.337 5.337 5.456 5.161 5.045 4.837 4.218 4.533 4.384 4.205 4.051 3.992 3.93 3.968 3.897 3.884 4.501 4.814 4.028 8.301029995663981 0.0152
1.2 6177.0 0.24 4.39 1.158 0.77 4.675 4.675 4.841 4.598 4.502 4.315 3.764 4.046 3.913 3.751 3.613 3.56 3.504 3.539 3.483 3.464 4.022 4.297 3.595 8.301029995663981 0.0152
1.3 6456.0 0.42 4.33 1.291 0.88 4.115 4.115 4.289 4.089 4.009 3.844 3.355 3.606 3.488 3.344 3.22 3.173 3.124 3.157 3.114 3.09 3.591 3.83 3.207 8.301029995663981 0.0152
1.4 6766.0 0.57 4.29 1.405 0.938 3.635 3.635 3.792 3.627 3.561 3.419 2.998 3.213 3.112 2.986 2.879 2.839 2.798 2.827 2.798 2.771 3.205 3.408 2.87 8.301029995663981 0.0152
0.03 1320.0 -4.48 4.83 0.11 1.0 28.794 28.794 27.021 25.363 24.609 25.644 21.755 25.766 22.058 21.109 20.762 20.144 18.155 17.977 16.443 16.995 19.48 24.851 17.765 8.477121254719663 0.0152
0.04 1667.0 -4.09 4.97 0.108 1.0 27.847 27.847 26.007 24.029 23.884 22.939 19.204 22.288 19.748 18.864 18.102 17.917 16.879 17.041 16.035 16.332 18.608 22.006 17.057 8.477121254719663 0.0152
0.05 2063.0 -3.72 5.07 0.109 0.97 26.918 26.918 25.202 23.143 22.918 22.12 18.389 21.09 18.95 18.086 17.063 16.839 15.547 15.719 14.478 15.245 17.242 21.001 15.611 8.477121254719663 0.0152
0.06 2331.0 -3.48 5.12 0.112 0.084 23.052 23.052 23.59 21.587 21.303 20.675 17.462 19.684 17.963 17.12 15.545 15.482 14.109 14.356 13.191 13.994 15.966 19.837 14.343 8.477121254719663 0.0152
0.07 2519.0 -3.31 5.15 0.117 0.0 22.749 22.749 22.029 20.01 19.698 19.142 16.661 18.479 17.101 16.291 14.35 14.439 13.244 13.513 12.533 13.178 15.194 18.775 13.619 8.477121254719663 0.0152
0.072 2552.0 -3.28 5.15 0.118 0.0 22.386 22.386 21.705 19.783 19.459 18.947 16.507 18.277 16.937 16.133 14.161 14.259 13.106 13.371 12.421 13.037 15.061 18.589 13.493 8.477121254719663 0.0152
0.075 2594.0 -3.24 5.16 0.119 0.0 21.915 21.915 21.285 19.491 19.151 18.699 16.307 18.014 16.723 15.927 13.914 14.024 12.926 13.185 12.276 12.851 14.886 18.346 13.329 8.477121254719663 0.0152
0.08 2660.0 -3.17 5.16 0.122 0.0 21.147 21.147 20.508 18.796 18.492 17.968 15.887 17.471 16.267 15.495 13.493 13.64 12.641 12.874 12.023 12.542 14.577 17.798 13.045 8.477121254719663 0.0152
0.09 2782.0 -3.04 5.17 0.129 0.0 19.751 19.751 19.072 17.605 17.328 16.795 15.031 16.398 15.416 14.714 12.818 12.928 12.112 12.322 11.603 11.986 14.017 16.747 12.542 8.477121254719663 0.0152
0.1 2874.0 -2.94 5.17 0.137 0.0 19.005 19.005 18.332 17.067 16.763 16.363 14.478 15.796 14.885 14.209 12.409 12.476 11.748 11.948 11.293 11.612 13.635 16.178 12.188 8.477121254719663 0.0152
0.11 2946.0 -2.85 5.16 0.144 0.0 18.403 18.403 17.737 16.578 16.266 15.927 14.039 15.311 14.451 13.798 12.071 12.116 11.448 11.638 11.025 11.304 13.311 15.701 11.887 8.477121254719663 0.0152
0.13 3055.0 -2.69 5.14 0.161 0.0 17.324 17.324 16.439 15.479 15.222 14.838 13.232 14.321 13.624 13.046 11.5 11.507 10.953 11.119 10.584 10.796 12.731 14.714 11.377 8.477121254719663 0.0152
0.15 3134.0 -2.56 5.11 0.178 0.0 16.57 16.57 15.534 14.691 14.476 14.042 12.62 13.581 12.994 12.472 11.076 11.053 10.579 10.727 10.243 10.413 12.281 13.982 10.984 8.477121254719663 0.0152
0.17 3192.0 -2.45 5.09 0.194 0.0 16.071 16.071 15.072 14.249 14.035 13.606 12.19 13.116 12.562 12.061 10.75 10.71 10.277 10.416 9.96 10.109 11.938 13.529 10.672 8.477121254719663 0.0152
0.2 3261.0 -2.32 5.06 0.218 0.0 15.5 15.5 14.536 13.727 13.511 13.094 11.692 12.581 12.06 11.578 10.352 10.298 9.902 10.033 9.603 9.735 11.518 13.003 10.284 8.477121254719663 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 14.266 14.266 13.365 12.579 12.359 11.959 10.585 11.398 10.937 10.495 9.444 9.363 9.04 9.153 8.777 8.876 10.554 11.841 9.392 8.477121254719663 0.0152
0.4 3528.0 -1.73 4.92 0.364 0.0 13.397 13.397 12.519 11.733 11.504 11.123 9.775 10.537 10.112 9.695 8.753 8.662 8.379 8.483 8.138 8.222 9.822 10.991 8.71 8.477121254719663 0.0152
0.5 3689.0 -1.46 4.82 0.455 0.0 12.447 12.447 11.584 10.778 10.531 10.177 8.861 9.552 9.174 8.791 8.002 7.897 7.667 7.757 7.456 7.52 9.002 10.024 7.964 8.477121254719663 0.0152
0.6 3971.0 -1.17 4.74 0.55 0.0 11.369 11.369 10.535 9.695 9.418 9.111 7.847 8.445 8.123 7.785 7.218 7.103 6.938 7.01 6.765 6.808 8.098 8.933 7.176 8.477121254719663 0.0152
0.7 4388.0 -0.88 4.68 0.632 0.0 9.909 9.909 9.263 8.54 8.242 8.072 6.774 7.339 7.044 6.733 6.416 6.304 6.195 6.25 6.063 6.091 7.145 7.804 6.357 8.477121254719663 0.0152
0.8 4822.0 -0.61 4.63 0.713 0.004 8.344 8.344 7.985 7.414 7.174 6.98 5.946 6.418 6.181 5.921 5.689 5.597 5.512 5.556 5.411 5.425 6.31 6.824 5.64 8.477121254719663 0.0152
0.9 5209.0 -0.37 4.58 0.806 0.081 7.129 7.129 6.989 6.533 6.347 6.122 5.288 5.69 5.493 5.269 5.071 4.993 4.92 4.96 4.845 4.847 5.622 6.048 5.034 8.477121254719663 0.0152
1.0 5572.0 -0.14 4.52 0.909 0.307 6.133 6.133 6.157 5.794 5.649 5.425 4.719 5.073 4.902 4.704 4.531 4.463 4.396 4.435 4.344 4.339 5.026 5.388 4.502 8.477121254719663 0.0152
1.1 5898.0 0.06 4.46 1.027 0.574 5.324 5.324 5.444 5.15 5.034 4.826 4.208 4.522 4.373 4.195 4.041 3.982 3.92 3.958 3.887 3.875 4.49 4.803 4.018 8.477121254719663 0.0152
1.2 6179.0 0.25 4.39 1.164 0.77 4.662 4.662 4.828 4.585 4.489 4.303 3.752 4.034 3.901 3.739 3.601 3.548 3.493 3.528 3.472 3.453 4.01 4.285 3.583 8.477121254719663 0.0152
1.3 6456.0 0.42 4.32 1.3 0.88 4.103 4.103 4.276 4.076 3.996 3.831 3.342 3.593 3.475 3.33 3.207 3.16 3.111 3.144 3.101 3.077 3.578 3.817 3.194 8.477121254719663 0.0152
1.4 6761.0 0.58 4.28 1.417 0.938 3.622 3.622 3.778 3.612 3.547 3.404 2.982 3.198 3.096 2.97 2.863 2.823 2.781 2.811 2.781 2.754 3.19 3.393 2.854 8.477121254719663 0.0152
0.04 1495.0 -4.31 5.0 0.105 1.0 28.104 28.104 26.289 24.527 24.036 24.002 20.014 23.941 20.487 19.559 19.156 18.905 17.31 17.444 16.226 16.545 19.008 23.277 17.389 8.602059991327963 0.0152
0.05 1836.0 -3.96 5.1 0.104 0.957 27.312 27.312 25.534 23.469 23.265 22.442 18.851 21.835 19.412 18.535 17.734 17.536 16.374 16.522 15.385 15.891 18.052 21.577 16.458 8.602059991327963 0.0152
0.06 2207.0 -3.62 5.17 0.106 0.011 26.482 26.482 25.048 22.917 22.682 21.907 18.189 20.722 18.723 17.863 16.583 16.384 14.98 15.196 13.957 14.769 16.758 20.742 15.116 8.602059991327963 0.0152
0.07 2419.0 -3.43 5.2 0.11 0.0 24.199 24.199 23.207 21.031 20.711 20.143 17.163 19.283 17.67 16.834 15.102 15.105 13.778 14.052 12.972 13.685 15.7 19.474 14.097 8.602059991327963 0.0152
0.072 2457.0 -3.4 5.21 0.111 0.0 23.696 23.696 22.797 20.639 20.331 19.741 16.995 18.998 17.48 16.655 14.846 14.885 13.603 13.876 12.834 13.517 15.536 19.226 13.944 8.602059991327963 0.0152
0.075 2508.0 -3.35 5.21 0.112 0.0 23.048 23.048 22.265 20.148 19.851 19.245 16.772 18.629 17.229 16.417 14.514 14.596 13.375 13.646 12.653 13.296 15.322 18.905 13.744 8.602059991327963 0.0152
0.08 2594.0 -3.27 5.22 0.115 0.0 22.109 22.109 21.452 19.612 19.27 18.812 16.379 18.106 16.805 16.009 14.015 14.117 13.006 13.268 12.354 12.922 14.968 18.436 13.41 8.602059991327963 0.0152
0.09 2726.0 -3.13 5.22 0.122 0.0 20.548 20.548 19.883 18.262 17.971 17.433 15.502 16.994 15.869 15.125 13.172 13.328 12.421 12.633 11.842 12.294 14.334 17.329 12.829 8.602059991327963 0.0152
0.1 2844.0 -3.0 5.21 0.13 0.0 19.35 19.35 18.671 17.321 17.02 16.581 14.715 16.055 15.121 14.437 12.607 12.684 11.924 12.13 11.455 11.789 13.821 16.429 12.364 8.602059991327963 0.0152
0.11 2929.0 -2.89 5.19 0.139 0.0 18.643 18.643 17.975 16.777 16.46 16.116 14.197 15.49 14.612 13.951 12.206 12.255 11.569 11.763 11.139 11.426 13.441 15.881 12.01 8.602059991327963 0.0152
0.13 3048.0 -2.72 5.16 0.157 0.0 17.453 17.453 16.596 15.607 15.341 14.966 13.325 14.434 13.721 13.136 11.574 11.583 11.02 11.189 10.647 10.864 12.807 14.827 11.446 8.602059991327963 0.0152
0.15 3131.0 -2.58 5.13 0.175 0.0 16.633 16.633 15.593 14.743 14.527 14.094 12.667 13.632 13.043 12.519 11.119 11.097 10.621 10.769 10.284 10.454 12.325 14.033 11.027 8.602059991327963 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 16.107 16.107 15.106 14.278 14.064 13.636 12.217 13.144 12.59 12.088 10.776 10.736 10.302 10.442 9.985 10.134 11.964 13.558 10.697 8.602059991327963 0.0152
0.2 3260.0 -2.32 5.07 0.217 0.0 15.518 15.518 14.553 13.742 13.526 13.108 11.706 12.594 12.074 11.592 10.365 10.311 9.916 10.046 9.617 9.748 11.531 13.017 10.298 8.602059991327963 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 14.268 14.268 13.368 12.581 12.361 11.961 10.587 11.4 10.939 10.497 9.446 9.365 9.042 9.156 8.779 8.879 10.556 11.843 9.394 8.602059991327963 0.0152
0.4 3526.0 -1.73 4.91 0.366 0.0 13.394 13.394 12.516 11.73 11.503 11.121 9.773 10.536 10.11 9.693 8.747 8.656 8.372 8.476 8.131 8.215 9.817 10.989 8.704 8.602059991327963 0.0152
0.5 3685.0 -1.46 4.82 0.457 0.0 12.452 12.452 11.588 10.784 10.537 10.183 8.867 9.56 9.18 8.796 8.003 7.898 7.667 7.757 7.455 7.519 9.005 10.031 7.965 8.602059991327963 0.0152
0.6 3969.0 -1.17 4.73 0.551 0.0 11.371 11.371 10.537 9.697 9.42 9.113 7.848 8.447 8.125 7.786 7.217 7.102 6.936 7.009 6.763 6.807 8.098 8.935 7.175 8.602059991327963 0.0152
0.7 4387.0 -0.87 4.68 0.633 0.0 9.909 9.909 9.262 8.538 8.24 8.07 6.772 7.337 7.042 6.731 6.413 6.302 6.192 6.247 6.06 6.088 7.143 7.802 6.355 8.602059991327963 0.0152
0.8 4821.0 -0.61 4.63 0.714 0.004 8.343 8.343 7.983 7.412 7.172 6.978 5.943 6.415 6.178 5.918 5.686 5.595 5.509 5.553 5.408 5.422 6.307 6.822 5.637 8.602059991327963 0.0152
0.9 5210.0 -0.36 4.58 0.808 0.081 7.123 7.123 6.983 6.527 6.342 6.117 5.283 5.685 5.488 5.264 5.066 4.988 4.915 4.955 4.84 4.843 5.617 6.043 5.029 8.602059991327963 0.0152
1.0 5574.0 -0.14 4.52 0.911 0.307 6.125 6.125 6.149 5.786 5.642 5.418 4.713 5.066 4.895 4.697 4.525 4.457 4.39 4.429 4.338 4.333 5.02 5.381 4.495 8.602059991327963 0.0152
1.1 5901.0 0.06 4.45 1.032 0.574 5.309 5.309 5.43 5.136 5.02 4.813 4.196 4.51 4.361 4.183 4.029 3.97 3.908 3.946 3.875 3.863 4.478 4.79 4.006 8.602059991327963 0.0152
1.2 6181.0 0.25 4.38 1.171 0.77 4.647 4.647 4.812 4.57 4.474 4.288 3.738 4.02 3.886 3.725 3.587 3.534 3.478 3.514 3.458 3.439 3.996 4.27 3.569 8.602059991327963 0.0152
1.3 6453.0 0.43 4.32 1.308 0.88 4.094 4.094 4.265 4.065 3.985 3.82 3.331 3.582 3.463 3.319 3.195 3.148 3.099 3.132 3.089 3.065 3.566 3.806 3.182 8.602059991327963 0.0152
1.4 6750.0 0.58 4.27 1.43 0.938 3.614 3.614 3.768 3.602 3.536 3.393 2.968 3.185 3.083 2.956 2.849 2.808 2.767 2.796 2.766 2.739 3.177 3.382 2.84 8.602059991327963 0.0152
0.04 1388.0 -4.45 5.01 0.103 1.0 28.568 28.568 26.772 25.108 24.441 25.079 21.012 25.051 21.387 20.448 20.173 19.709 17.814 17.794 16.383 16.824 19.332 24.316 17.653 8.698970004336019 0.0152
0.05 1698.0 -4.12 5.13 0.101 0.947 27.647 27.647 25.831 23.858 23.635 22.874 19.174 22.354 19.72 18.831 18.121 17.939 16.807 16.969 15.923 16.246 18.53 22.011 16.968 8.698970004336019 0.0152
0.06 2082.0 -3.76 5.2 0.102 0.001 26.76 26.76 25.086 22.976 22.696 22.028 18.378 21.296 18.962 18.085 17.108 16.895 15.476 15.65 14.375 15.151 17.169 21.057 15.527 8.698970004336019 0.0152
0.07 2335.0 -3.53 5.24 0.105 0.0 23.958 23.958 23.799 21.713 21.406 20.822 17.51 19.892 18.029 17.175 15.683 15.618 14.213 14.443 13.255 14.035 16.045 19.953 14.418 8.698970004336019 0.0152
0.072 2378.0 -3.49 5.25 0.106 0.0 24.358 24.358 23.59 21.43 21.108 20.546 17.357 19.634 17.883 17.036 15.428 15.392 14.017 14.276 13.146 13.883 15.903 19.752 14.288 8.698970004336019 0.0152
0.075 2435.0 -3.44 5.25 0.107 0.0 24.101 24.101 23.114 20.922 20.607 20.026 17.129 19.236 17.639 16.805 15.066 15.079 13.761 14.034 12.969 13.657 15.686 19.422 14.087 8.698970004336019 0.0152
0.08 2539.0 -3.34 5.25 0.111 0.0 22.819 22.819 22.057 20.005 19.696 19.129 16.669 18.492 17.122 16.316 14.395 14.481 13.292 13.56 12.594 13.204 15.244 18.781 13.673 8.698970004336019 0.0152
0.09 2696.0 -3.18 5.25 0.118 0.0 20.982 20.982 20.319 18.621 18.322 17.786 15.745 17.308 16.104 15.337 13.364 13.541 12.584 12.798 11.967 12.455 14.5 17.637 12.979 8.698970004336019 0.0152
0.1 2828.0 -3.03 5.23 0.127 0.0 19.543 19.543 18.862 17.466 17.167 16.708 14.847 16.2 15.253 14.563 12.715 12.798 12.019 12.228 11.542 11.886 13.922 16.57 12.459 8.698970004336019 0.0152
0.11 2921.0 -2.91 5.21 0.137 0.0 18.75 18.75 18.082 16.866 16.547 16.201 14.267 15.57 14.683 14.019 12.266 12.317 11.622 11.818 11.189 11.48 13.499 15.961 12.064 8.698970004336019 0.0152
0.13 3046.0 -2.72 5.16 0.156 0.0 17.498 17.498 16.65 15.651 15.381 15.01 13.357 14.473 13.755 13.167 11.6 11.61 11.043 11.212 10.668 10.887 12.833 14.866 11.469 8.698970004336019 0.0152
0.15 3130.0 -2.58 5.13 0.175 0.0 16.646 16.646 15.604 14.754 14.537 14.104 12.677 13.642 13.053 12.529 11.128 11.106 10.629 10.778 10.292 10.463 12.334 14.043 11.035 8.698970004336019 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 16.112 16.112 15.111 14.283 14.068 13.64 12.221 13.149 12.594 12.092 10.781 10.741 10.306 10.446 9.989 10.138 11.968 13.562 10.701 8.698970004336019 0.0152
0.2 3260.0 -2.32 5.07 0.217 0.0 15.52 15.52 14.555 13.744 13.528 13.11 11.708 12.596 12.075 11.594 10.367 10.313 9.917 10.048 9.618 9.75 11.533 13.019 10.3 8.698970004336019 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 14.268 14.268 13.367 12.58 12.361 11.961 10.587 11.4 10.939 10.497 9.446 9.365 9.042 9.155 8.779 8.879 10.556 11.843 9.394 8.698970004336019 0.0152
0.4 3524.0 -1.73 4.91 0.367 0.0 13.39 13.39 12.511 11.727 11.5 11.117 9.77 10.534 10.107 9.689 8.741 8.651 8.366 8.47 8.124 8.208 9.812 10.987 8.698 8.698970004336019 0.0152
0.5 3682.0 -1.46 4.82 0.457 0.0 12.456 12.456 11.591 10.787 10.541 10.186 8.87 9.564 9.184 8.799 8.003 7.898 7.666 7.757 7.454 7.519 9.006 10.035 7.965 8.698970004336019 0.0152
0.6 3968.0 -1.17 4.73 0.552 0.0 11.369 11.369 10.534 9.695 9.418 9.11 7.846 8.445 8.123 7.784 7.215 7.099 6.934 7.006 6.76 6.804 8.096 8.933 7.173 8.698970004336019 0.0152
0.7 4386.0 -0.87 4.68 0.634 0.0 9.909 9.909 9.261 8.537 8.239 8.069 6.771 7.336 7.041 6.729 6.411 6.3 6.19 6.245 6.058 6.086 7.142 7.801 6.353 8.698970004336019 0.0152
0.8 4821.0 -0.6 4.63 0.715 0.003 8.341 8.341 7.98 7.409 7.169 6.975 5.941 6.412 6.175 5.915 5.683 5.592 5.506 5.55 5.405 5.419 6.305 6.819 5.634 8.698970004336019 0.0152
0.9 5211.0 -0.36 4.57 0.81 0.08 7.116 7.116 6.976 6.521 6.336 6.111 5.277 5.679 5.482 5.258 5.061 4.982 4.909 4.949 4.834 4.837 5.611 6.037 5.023 8.698970004336019 0.0152
1.0 5576.0 -0.14 4.52 0.913 0.307 6.115 6.115 6.141 5.778 5.634 5.41 4.706 5.059 4.888 4.69 4.518 4.45 4.383 4.422 4.332 4.326 5.012 5.373 4.489 8.698970004336019 0.0152
1.1 5904.0 0.07 4.45 1.035 0.574 5.298 5.298 5.419 5.126 5.01 4.803 4.187 4.5 4.352 4.174 4.02 3.961 3.899 3.937 3.867 3.854 4.468 4.781 3.997 8.698970004336019 0.0152
1.2 6182.0 0.26 4.38 1.176 0.77 4.636 4.636 4.801 4.559 4.463 4.277 3.727 4.009 3.876 3.714 3.576 3.523 3.468 3.503 3.447 3.428 3.985 4.259 3.558 8.698970004336019 0.0152
1.3 6451.0 0.43 4.31 1.316 0.88 4.082 4.082 4.253 4.052 3.973 3.807 3.318 3.569 3.451 3.306 3.182 3.135 3.086 3.119 3.076 3.052 3.553 3.793 3.169 8.698970004336019 0.0152
1.4 6742.0 0.59 4.26 1.444 0.938 3.602 3.602 3.755 3.588 3.522 3.378 2.952 3.17 3.068 2.94 2.833 2.792 2.75 2.78 2.749 2.722 3.162 3.367 2.823 8.698970004336019 0.0152
0.04 1336.0 -4.53 5.03 0.101 1.0 28.849 28.849 27.09 25.416 24.651 25.735 21.911 25.91 22.217 21.268 20.875 20.259 18.292 18.088 16.536 17.124 19.569 24.914 17.85 8.795880017344075 0.0152
0.05 1555.0 -4.29 5.14 0.099 0.938 28.098 28.098 26.278 24.434 24.062 23.724 19.857 23.476 20.354 19.439 18.892 18.669 17.292 17.436 16.305 16.602 19.004 22.937 17.413 8.795880017344075 0.0152
0.06 1908.0 -3.94 5.23 0.098 0.0 27.11 27.11 25.388 23.284 23.004 22.356 18.788 21.926 19.372 18.486 17.701 17.506 16.196 16.344 15.125 15.729 17.857 21.554 16.237 8.795880017344075 0.0152
0.07 2248.0 -3.63 5.28 0.101 0.0 25.412 25.412 24.607 22.517 22.228 21.601 17.977 20.629 18.521 17.653 16.395 16.249 14.807 15.011 13.765 14.555 16.577 20.554 14.937 8.795880017344075 0.0152
0.072 2301.0 -3.58 5.28 0.102 0.0 23.988 23.988 24.05 21.993 21.689 21.104 17.653 20.184 18.17 17.307 15.942 15.853 14.413 14.61 13.362 14.173 16.188 20.161 14.549 8.795880017344075 0.0152
0.075 2370.0 -3.52 5.28 0.103 0.0 24.451 24.451 23.696 21.533 21.21 20.654 17.41 19.752 17.943 17.092 15.531 15.486 14.096 14.346 13.2 13.937 15.967 19.834 14.348 8.795880017344075 0.0152
0.08 2485.0 -3.41 5.28 0.107 0.0 23.516 23.516 22.63 20.42 20.132 19.491 16.935 18.883 17.418 16.601 14.769 14.829 13.567 13.84 12.822 13.468 15.507 19.118 13.922 8.795880017344075 0.0152
0.09 2671.0 -3.21 5.27 0.115 0.0 21.343 21.343 20.676 18.932 18.618 18.11 15.933 17.549 16.311 15.535 13.563 13.722 12.722 12.948 12.094 12.6 14.649 17.88 13.119 8.795880017344075 0.0152
0.1 2817.0 -3.05 5.24 0.126 0.0 19.664 19.664 18.981 17.558 17.259 16.79 14.928 16.291 15.334 14.641 12.782 12.868 12.078 12.289 11.595 11.945 13.984 16.659 12.518 8.795880017344075 0.0152
0.11 2917.0 -2.92 5.21 0.136 0.0 18.804 18.804 18.135 16.911 16.591 16.243 14.302 15.61 14.719 14.053 12.296 12.348 11.649 11.846 11.214 11.507 13.528 16.002 12.092 8.795880017344075 0.0152
0.13 3045.0 -2.73 5.17 0.156 0.0 17.511 17.511 16.667 15.664 15.394 15.024 13.367 14.485 13.765 13.176 11.607 11.618 11.05 11.22 10.675 10.894 12.841 14.878 11.476 8.795880017344075 0.0152
0.15 3130.0 -2.58 5.13 0.174 0.0 16.649 16.649 15.607 14.756 14.54 14.106 12.679 13.644 13.055 12.531 11.13 11.109 10.631 10.78 10.294 10.465 12.336 14.045 11.037 8.795880017344075 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 16.114 16.114 15.113 14.284 14.07 13.641 12.222 13.15 12.595 12.093 10.782 10.742 10.308 10.447 9.99 10.139 11.97 13.563 10.702 8.795880017344075 0.0152
0.2 3260.0 -2.32 5.07 0.217 0.0 15.52 15.52 14.556 13.744 13.528 13.111 11.708 12.597 12.076 11.594 10.368 10.313 9.918 10.048 9.619 9.751 11.534 13.02 10.3 8.795880017344075 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 14.267 14.267 13.366 12.579 12.36 11.96 10.586 11.399 10.938 10.496 9.445 9.364 9.041 9.155 8.778 8.878 10.555 11.842 9.393 8.795880017344075 0.0152
0.4 3522.0 -1.72 4.91 0.369 0.0 13.386 13.386 12.506 11.723 11.495 11.113 9.765 10.53 10.103 9.684 8.734 8.644 8.359 8.463 8.117 8.201 9.806 10.983 8.691 8.795880017344075 0.0152
