# M/Ms Teff L/Ls g R/Rs Li/Li0 Mv Mr Mi Mj Mh Mk Ml Mll Mm Age Z
0.05 1698.0 -4.12 5.13 0.101 0.947 22.46 19.14 16.99 13.62 12.46 11.55 10.63 10.28 10.97 8.698970004336019 0.0152
0.06 2082.0 -3.76 5.2 0.102 0.001 21.45 18.21 15.74 11.98 11.35 11.01 10.38 10.03 10.73 8.698970004336019 0.0152
0.07 2335.0 -3.53 5.24 0.105 0.0 20.13 17.08 14.51 11.34 10.83 10.52 10.05 9.74 10.32 8.698970004336019 0.0152
0.072 2378.0 -3.49 5.25 0.106 0.0 19.88 16.89 14.33 11.27 10.74 10.43 9.98 9.68 10.24 8.698970004336019 0.0152
0.075 2435.0 -3.44 5.25 0.107 0.0 19.46 16.61 14.08 11.17 10.62 10.32 9.9 9.6 10.12 8.698970004336019 0.0152
0.08 2539.0 -3.34 5.25 0.111 0.0 18.68 16.07 13.59 10.94 10.4 10.09 9.71 9.44 9.85 8.698970004336019 0.0152
0.09 2696.0 -3.18 5.25 0.118 0.0 17.44 15.13 12.82 10.55 10.05 9.74 9.4 9.17 9.44 8.698970004336019 0.0152
0.1 2828.0 -3.03 5.23 0.127 0.0 16.34 14.4 12.23 10.25 9.72 9.41 9.11 8.9 9.1 8.698970004336019 0.0152
0.11 2921.0 -2.91 5.21 0.137 0.0 15.74 13.89 11.82 9.98 9.45 9.16 8.88 8.68 8.85 8.698970004336019 0.0152
0.13 3046.0 -2.72 5.16 0.156 0.0 14.62 13.11 11.21 9.56 9.03 8.75 8.49 8.31 8.45 8.698970004336019 0.0152
0.15 3130.0 -2.58 5.13 0.175 0.0 13.76 12.52 10.77 9.24 8.71 8.43 8.18 8.02 8.12 8.698970004336019 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 13.28 12.1 10.44 8.97 8.44 8.17 7.93 7.77 7.86 8.698970004336019 0.0152
0.2 3260.0 -2.32 5.07 0.217 0.0 12.74 11.62 10.04 8.64 8.1 7.84 7.62 7.46 7.55 8.698970004336019 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 11.56 10.56 9.15 7.87 7.32 7.07 6.87 6.74 6.81 8.698970004336019 0.0152
0.4 3524.0 -1.73 4.91 0.367 0.0 10.71 9.76 8.46 7.25 6.69 6.45 6.27 6.16 6.23 8.698970004336019 0.0152
0.5 3682.0 -1.46 4.82 0.457 0.0 9.75 8.88 7.75 6.63 6.04 5.83 5.67 5.59 5.67 8.698970004336019 0.0152
0.6 3968.0 -1.17 4.73 0.552 0.0 8.66 7.88 7.0 6.0 5.37 5.21 5.1 5.05 5.15 8.698970004336019 0.0152
0.7 4386.0 -0.87 4.68 0.634 0.0 7.57 6.84 6.24 5.38 4.78 4.67 4.61 4.6 4.71 8.698970004336019 0.0152
0.8 4821.0 -0.6 4.63 0.715 0.003 6.6 6.02 5.55 4.84 4.35 4.27 4.23 4.22 4.31 8.698970004336019 0.0152
0.9 5211.0 -0.36 4.57 0.81 0.08 5.83 5.35 4.95 4.36 3.96 3.9 3.87 3.86 3.92 8.698970004336019 0.0152
1.0 5576.0 -0.14 4.52 0.913 0.307 5.18 4.77 4.42 3.93 3.6 3.55 3.53 3.52 3.57 8.698970004336019 0.0152
1.1 5904.0 0.07 4.45 1.035 0.574 4.61 4.25 3.93 3.52 3.24 3.2 3.19 3.18 3.21 8.698970004336019 0.0152
1.2 6182.0 0.26 4.38 1.176 0.77 4.11 3.78 3.5 3.14 2.9 2.87 2.86 2.86 2.87 8.698970004336019 0.0152
1.3 6451.0 0.43 4.31 1.316 0.88 3.66 3.37 3.12 2.8 2.6 2.57 2.57 2.56 2.57 8.698970004336019 0.0152
1.4 6742.0 0.59 4.26 1.444 0.938 3.25 3.0 2.78 2.51 2.35 2.32 2.32 2.31 2.31 8.698970004336019 0.0152
0.05 1555.0 -4.29 5.14 0.099 0.938 23.39 19.7 17.46 14.15 12.93 12.01 11.03 10.65 11.29 8.795880017344075 0.0152
0.06 1908.0 -3.94 5.23 0.098 0.0 21.99 18.73 16.41 12.58 11.8 11.34 10.6 10.24 10.97 8.795880017344075 0.0152
0.07 2248.0 -3.63 5.28 0.101 0.0 20.87 17.65 15.09 11.68 11.12 10.8 10.24 9.92 10.55 8.795880017344075 0.0152
0.072 2301.0 -3.58 5.28 0.102 0.0 20.41 17.27 14.69 11.43 10.94 10.65 10.15 9.83 10.46 8.795880017344075 0.0152
0.075 2370.0 -3.52 5.28 0.103 0.0 19.99 16.97 14.41 11.32 10.8 10.5 10.04 9.74 10.32 8.795880017344075 0.0152
0.08 2485.0 -3.41 5.28 0.107 0.0 19.06 16.38 13.88 11.09 10.55 10.25 9.85 9.56 10.04 8.795880017344075 0.0152
0.09 2671.0 -3.21 5.27 0.115 0.0 17.71 15.31 12.97 10.64 10.13 9.82 9.48 9.24 9.53 8.795880017344075 0.0152
0.1 2817.0 -3.05 5.24 0.126 0.0 16.42 14.47 12.29 10.29 9.76 9.46 9.15 8.94 9.14 8.795880017344075 0.0152
0.11 2917.0 -2.92 5.21 0.136 0.0 15.78 13.93 11.85 10.0 9.47 9.18 8.9 8.7 8.87 8.795880017344075 0.0152
0.13 3045.0 -2.73 5.17 0.156 0.0 14.63 13.12 11.22 9.56 9.03 8.75 8.5 8.31 8.45 8.795880017344075 0.0152
0.15 3130.0 -2.58 5.13 0.174 0.0 13.76 12.52 10.77 9.24 8.71 8.43 8.19 8.02 8.12 8.795880017344075 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 13.28 12.1 10.44 8.98 8.44 8.17 7.93 7.77 7.86 8.795880017344075 0.0152
0.2 3260.0 -2.32 5.07 0.217 0.0 12.74 11.62 10.04 8.64 8.1 7.84 7.62 7.46 7.55 8.795880017344075 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 11.56 10.55 9.15 7.87 7.31 7.07 6.87 6.74 6.81 8.795880017344075 0.0152
0.4 3522.0 -1.72 4.91 0.369 0.0 10.7 9.76 8.45 7.24 6.68 6.45 6.27 6.15 6.22 8.795880017344075 0.0152
0.5 3681.0 -1.46 4.81 0.458 0.0 9.75 8.89 7.75 6.63 6.04 5.83 5.67 5.58 5.67 8.795880017344075 0.0152
0.6 3969.0 -1.17 4.73 0.552 0.0 8.65 7.88 7.0 6.0 5.37 5.2 5.09 5.05 5.15 8.795880017344075 0.0152
0.7 4385.0 -0.87 4.68 0.635 0.0 7.57 6.84 6.24 5.38 4.77 4.67 4.61 4.6 4.71 8.795880017344075 0.0152
0.8 4821.0 -0.6 4.63 0.716 0.003 6.6 6.01 5.54 4.84 4.35 4.27 4.23 4.22 4.3 8.795880017344075 0.0152
0.9 5213.0 -0.36 4.57 0.811 0.08 5.82 5.34 4.94 4.35 3.95 3.9 3.86 3.86 3.92 8.795880017344075 0.0152
1.0 5580.0 -0.14 4.51 0.916 0.307 5.17 4.76 4.41 3.92 3.59 3.54 3.52 3.52 3.56 8.795880017344075 0.0152
1.1 5907.0 0.07 4.44 1.04 0.574 4.6 4.24 3.92 3.51 3.23 3.19 3.18 3.17 3.2 8.795880017344075 0.0152
1.2 6183.0 0.26 4.37 1.183 0.77 4.09 3.77 3.49 3.13 2.89 2.85 2.84 2.84 2.86 8.795880017344075 0.0152
1.3 6446.0 0.44 4.31 1.327 0.88 3.64 3.35 3.1 2.79 2.59 2.56 2.55 2.55 2.55 8.795880017344075 0.0152
1.4 6727.0 0.59 4.25 1.462 0.938 3.23 2.98 2.76 2.49 2.32 2.3 2.29 2.29 2.29 8.795880017344075 0.0152
0.06 1716.0 -4.15 5.25 0.096 0.0 22.56 19.14 16.94 13.6 12.51 11.68 10.79 10.46 11.13 8.903089986991944 0.0152
0.07 2136.0 -3.75 5.31 0.097 0.0 21.49 18.16 15.63 11.97 11.37 11.08 10.45 10.1 10.83 8.903089986991944 0.0152
0.072 2212.0 -3.69 5.31 0.098 0.0 21.24 17.94 15.4 11.9 11.29 10.96 10.36 10.03 10.69 8.903089986991944 0.0152
0.075 2294.0 -3.61 5.32 0.1 0.0 20.54 17.35 14.77 11.5 11.01 10.72 10.21 9.89 10.54 8.903089986991944 0.0152
0.08 2436.0 -3.47 5.31 0.104 0.0 19.52 16.68 14.14 11.23 10.69 10.39 9.96 9.67 10.21 8.903089986991944 0.0152
0.09 2656.0 -3.24 5.28 0.114 0.0 17.87 15.43 13.07 10.7 10.18 9.87 9.53 9.28 9.59 8.903089986991944 0.0152
0.1 2812.0 -3.06 5.25 0.125 0.0 16.47 14.51 12.32 10.31 9.78 9.48 9.17 8.95 9.16 8.903089986991944 0.0152
0.11 2915.0 -2.92 5.22 0.135 0.0 15.8 13.94 11.86 10.01 9.48 9.19 8.9 8.7 8.88 8.903089986991944 0.0152
0.13 3045.0 -2.73 5.17 0.156 0.0 14.63 13.12 11.22 9.56 9.03 8.75 8.5 8.32 8.45 8.903089986991944 0.0152
0.15 3130.0 -2.58 5.13 0.174 0.0 13.76 12.52 10.78 9.24 8.71 8.43 8.19 8.02 8.12 8.903089986991944 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 13.28 12.1 10.44 8.98 8.44 8.17 7.93 7.77 7.86 8.903089986991944 0.0152
0.2 3260.0 -2.32 5.07 0.217 0.0 12.74 11.62 10.04 8.64 8.1 7.84 7.62 7.46 7.55 8.903089986991944 0.0152
0.3 3415.0 -1.99 4.99 0.29 0.0 11.56 10.55 9.14 7.87 7.31 7.07 6.87 6.74 6.81 8.903089986991944 0.0152
0.4 3521.0 -1.72 4.9 0.371 0.0 10.7 9.75 8.45 7.24 6.67 6.44 6.26 6.14 6.21 8.903089986991944 0.0152
0.5 3680.0 -1.46 4.81 0.459 0.0 9.75 8.88 7.74 6.63 6.03 5.82 5.67 5.58 5.66 8.903089986991944 0.0152
0.6 3968.0 -1.17 4.73 0.553 0.0 8.65 7.88 6.99 6.0 5.36 5.2 5.09 5.04 5.14 8.903089986991944 0.0152
0.7 4386.0 -0.87 4.68 0.636 0.0 7.57 6.84 6.23 5.38 4.77 4.67 4.61 4.59 4.7 8.903089986991944 0.0152
0.8 4823.0 -0.6 4.63 0.718 0.003 6.59 6.0 5.54 4.83 4.34 4.26 4.22 4.21 4.3 8.903089986991944 0.0152
0.9 5216.0 -0.36 4.57 0.813 0.079 5.81 5.33 4.93 4.35 3.95 3.89 3.86 3.85 3.91 8.903089986991944 0.0152
1.0 5586.0 -0.13 4.51 0.92 0.306 5.16 4.75 4.4 3.91 3.58 3.53 3.51 3.51 3.55 8.903089986991944 0.0152
1.1 5910.0 0.08 4.44 1.046 0.574 4.58 4.22 3.91 3.49 3.22 3.18 3.17 3.16 3.19 8.903089986991944 0.0152
1.2 6184.0 0.27 4.36 1.193 0.77 4.07 3.75 3.47 3.11 2.87 2.84 2.83 2.82 2.84 8.903089986991944 0.0152
1.3 6442.0 0.45 4.29 1.345 0.88 3.62 3.33 3.07 2.76 2.56 2.53 2.52 2.52 2.52 8.903089986991944 0.0152
1.4 6705.0 0.61 4.24 1.491 0.938 3.2 2.95 2.73 2.45 2.28 2.26 2.25 2.25 2.25 8.903089986991944 0.0152
0.06 1584.0 -4.3 5.27 0.094 0.0 23.41 19.73 17.48 14.19 12.99 12.07 11.12 10.77 11.35 9.0 0.0152
0.07 2047.0 -3.85 5.33 0.094 0.0 21.78 18.42 15.96 12.24 11.59 11.26 10.58 10.22 10.96 9.0 0.0152
0.072 2109.0 -3.79 5.34 0.095 0.0 21.6 18.25 15.72 12.01 11.43 11.16 10.52 10.15 10.93 9.0 0.0152
0.075 2243.0 -3.67 5.34 0.097 0.0 21.01 17.74 15.19 11.77 11.21 10.9 10.33 10.0 10.67 9.0 0.0152
0.08 2400.0 -3.51 5.33 0.102 0.0 19.87 16.89 14.33 11.32 10.78 10.49 10.04 9.74 10.33 9.0 0.0152
0.09 2648.0 -3.25 5.29 0.113 0.0 17.96 15.49 13.11 10.73 10.21 9.9 9.55 9.3 9.62 9.0 0.0152
0.1 2810.0 -3.06 5.25 0.124 0.0 16.48 14.52 12.33 10.32 9.79 9.48 9.17 8.96 9.17 9.0 0.0152
0.11 2915.0 -2.92 5.22 0.135 0.0 15.8 13.94 11.86 10.01 9.48 9.19 8.91 8.71 8.88 9.0 0.0152
0.13 3045.0 -2.73 5.17 0.156 0.0 14.63 13.12 11.22 9.56 9.03 8.75 8.5 8.32 8.45 9.0 0.0152
0.15 3130.0 -2.58 5.13 0.174 0.0 13.76 12.52 10.78 9.24 8.71 8.43 8.19 8.02 8.12 9.0 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 13.28 12.1 10.44 8.98 8.44 8.17 7.93 7.77 7.86 9.0 0.0152
0.2 3261.0 -2.32 5.07 0.217 0.0 12.74 11.62 10.04 8.64 8.1 7.84 7.62 7.46 7.55 9.0 0.0152
0.3 3415.0 -1.99 4.99 0.291 0.0 11.56 10.55 9.14 7.86 7.31 7.07 6.87 6.74 6.81 9.0 0.0152
0.4 3520.0 -1.72 4.9 0.372 0.0 10.69 9.75 8.44 7.23 6.66 6.43 6.25 6.14 6.21 9.0 0.0152
0.5 3680.0 -1.46 4.81 0.46 0.0 9.75 8.88 7.74 6.62 6.03 5.82 5.66 5.58 5.66 9.0 0.0152
0.6 3967.0 -1.16 4.73 0.554 0.0 8.65 7.87 6.99 5.99 5.36 5.2 5.09 5.04 5.14 9.0 0.0152
0.7 4387.0 -0.87 4.67 0.637 0.0 7.56 6.83 6.23 5.37 4.76 4.66 4.6 4.59 4.7 9.0 0.0152
0.8 4826.0 -0.6 4.63 0.719 0.002 6.58 6.0 5.53 4.82 4.34 4.26 4.22 4.21 4.29 9.0 0.0152
0.9 5220.0 -0.35 4.57 0.816 0.078 5.8 5.32 4.92 4.34 3.94 3.88 3.85 3.85 3.91 9.0 0.0152
1.0 5592.0 -0.13 4.51 0.923 0.306 5.14 4.74 4.39 3.9 3.57 3.52 3.5 3.5 3.54 9.0 0.0152
1.1 5916.0 0.09 4.43 1.054 0.574 4.56 4.2 3.89 3.48 3.2 3.16 3.15 3.14 3.17 9.0 0.0152
1.2 6187.0 0.28 4.36 1.204 0.77 4.05 3.73 3.45 3.09 2.85 2.82 2.81 2.8 2.82 9.0 0.0152
1.3 6438.0 0.46 4.28 1.363 0.88 3.59 3.3 3.05 2.73 2.53 2.5 2.49 2.49 2.49 9.0 0.0152
1.4 6684.0 0.62 4.22 1.521 0.938 3.17 2.91 2.69 2.42 2.24 2.22 2.21 2.21 2.21 9.0 0.0152
0.07 1720.0 -4.19 5.37 0.091 0.0 22.7 19.18 16.93 13.64 12.6 11.81 10.96 10.62 11.28 9.301029995663981 0.0152
0.072 1811.0 -4.09 5.38 0.091 0.0 22.4 18.93 16.61 13.11 12.26 11.66 10.85 10.51 11.21 9.301029995663981 0.0152
0.075 2083.0 -3.84 5.38 0.093 0.0 21.74 18.35 15.83 12.12 11.53 11.26 10.59 10.23 11.02 9.301029995663981 0.0152
0.08 2348.0 -3.57 5.35 0.099 0.0 20.23 17.13 14.56 11.43 10.92 10.64 10.16 9.85 10.48 9.301029995663981 0.0152
0.09 2643.0 -3.25 5.29 0.113 0.0 18.01 15.53 13.14 10.74 10.22 9.91 9.56 9.32 9.63 9.301029995663981 0.0152
0.1 2810.0 -3.06 5.25 0.124 0.0 16.48 14.52 12.34 10.32 9.79 9.48 9.17 8.96 9.17 9.301029995663981 0.0152
0.11 2915.0 -2.92 5.22 0.135 0.0 15.8 13.94 11.86 10.01 9.48 9.19 8.91 8.71 8.88 9.301029995663981 0.0152
0.13 3045.0 -2.73 5.17 0.156 0.0 14.63 13.12 11.22 9.56 9.03 8.75 8.5 8.32 8.45 9.301029995663981 0.0152
0.15 3130.0 -2.58 5.13 0.174 0.0 13.76 12.52 10.77 9.24 8.71 8.43 8.19 8.02 8.12 9.301029995663981 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 13.28 12.1 10.44 8.98 8.44 8.17 7.93 7.77 7.86 9.301029995663981 0.0152
0.2 3261.0 -2.32 5.07 0.217 0.0 12.73 11.62 10.04 8.64 8.1 7.84 7.61 7.46 7.55 9.301029995663981 0.0152
0.3 3415.0 -1.98 4.98 0.293 0.0 11.54 10.53 9.13 7.85 7.29 7.05 6.85 6.72 6.79 9.301029995663981 0.0152
0.4 3519.0 -1.71 4.89 0.374 0.0 10.68 9.74 8.43 7.22 6.65 6.42 6.24 6.12 6.19 9.301029995663981 0.0152
0.5 3679.0 -1.45 4.81 0.462 0.0 9.74 8.87 7.73 6.61 6.02 5.81 5.65 5.57 5.65 9.301029995663981 0.0152
0.6 3969.0 -1.16 4.72 0.557 0.0 8.63 7.86 6.98 5.98 5.35 5.19 5.07 5.03 5.13 9.301029995663981 0.0152
0.7 4396.0 -0.86 4.67 0.64 0.0 7.54 6.8 6.21 5.35 4.75 4.65 4.59 4.57 4.68 9.301029995663981 0.0152
0.8 4842.0 -0.59 4.62 0.725 0.001 6.54 5.96 5.5 4.8 4.31 4.24 4.19 4.19 4.27 9.301029995663981 0.0152
0.9 5244.0 -0.33 4.56 0.827 0.073 5.75 5.27 4.88 4.3 3.91 3.85 3.82 3.81 3.87 9.301029995663981 0.0152
1.0 5627.0 -0.1 4.49 0.944 0.306 5.06 4.66 4.31 3.83 3.51 3.47 3.45 3.44 3.48 9.301029995663981 0.0152
1.1 5945.0 0.13 4.4 1.093 0.574 4.46 4.1 3.79 3.39 3.12 3.08 3.06 3.06 3.09 9.301029995663981 0.0152
1.2 6202.0 0.33 4.31 1.274 0.77 3.92 3.6 3.32 2.96 2.73 2.69 2.68 2.68 2.69 9.301029995663981 0.0152
1.3 6403.0 0.52 4.21 1.481 0.88 3.43 3.14 2.89 2.56 2.36 2.33 2.32 2.32 2.32 9.301029995663981 0.0152
1.4 6464.0 0.68 4.1 1.751 0.938 3.02 2.74 2.49 2.18 1.98 1.95 1.95 1.94 1.94 9.301029995663981 0.0152
0.07 1650.0 -4.27 5.38 0.09 0.0 23.38 19.67 17.38 14.0 12.88 12.04 11.15 10.74 11.45 9.477121254719663 0.0152
0.072 1793.0 -4.11 5.38 0.091 0.0 22.45 18.97 16.67 13.21 12.33 11.69 10.88 10.54 11.22 9.477121254719663 0.0152
0.075 2052.0 -3.87 5.39 0.092 0.0 21.85 18.43 15.96 12.26 11.63 11.32 10.64 10.28 11.04 9.477121254719663 0.0152
0.08 2343.0 -3.58 5.35 0.099 0.0 20.27 17.16 14.58 11.44 10.93 10.65 10.17 9.86 10.5 9.477121254719663 0.0152
0.09 2644.0 -3.25 5.29 0.113 0.0 18.0 15.52 13.14 10.74 10.22 9.91 9.56 9.31 9.63 9.477121254719663 0.0152
0.1 2810.0 -3.06 5.25 0.124 0.0 16.48 14.52 12.33 10.32 9.79 9.48 9.17 8.96 9.17 9.477121254719663 0.0152
0.11 2915.0 -2.92 5.22 0.135 0.0 15.8 13.94 11.86 10.01 9.48 9.19 8.91 8.71 8.88 9.477121254719663 0.0152
0.13 3046.0 -2.73 5.17 0.156 0.0 14.63 13.12 11.22 9.56 9.03 8.75 8.5 8.31 8.45 9.477121254719663 0.0152
0.15 3131.0 -2.58 5.13 0.174 0.0 13.76 12.52 10.77 9.24 8.71 8.43 8.18 8.02 8.12 9.477121254719663 0.0152
0.17 3191.0 -2.46 5.1 0.192 0.0 13.28 12.1 10.44 8.97 8.44 8.17 7.93 7.77 7.86 9.477121254719663 0.0152
0.2 3261.0 -2.32 5.07 0.217 0.0 12.73 11.61 10.04 8.64 8.09 7.83 7.61 7.46 7.54 9.477121254719663 0.0152
0.3 3416.0 -1.97 4.97 0.295 0.0 11.52 10.52 9.11 7.83 7.28 7.03 6.83 6.7 6.77 9.477121254719663 0.0152
0.4 3520.0 -1.71 4.89 0.375 0.0 10.67 9.73 8.42 7.21 6.64 6.41 6.23 6.12 6.19 9.477121254719663 0.0152
0.5 3679.0 -1.45 4.8 0.464 0.0 9.73 8.86 7.72 6.6 6.01 5.8 5.64 5.56 5.64 9.477121254719663 0.0152
0.6 3974.0 -1.15 4.72 0.559 0.0 8.62 7.84 6.96 5.97 5.34 5.17 5.06 5.02 5.12 9.477121254719663 0.0152
0.7 4407.0 -0.85 4.67 0.643 0.0 7.51 6.78 6.19 5.34 4.73 4.63 4.57 4.56 4.67 9.477121254719663 0.0152
0.8 4859.0 -0.57 4.61 0.731 0.001 6.5 5.93 5.47 4.77 4.29 4.22 4.17 4.17 4.25 9.477121254719663 0.0152
0.9 5270.0 -0.31 4.55 0.838 0.07 5.69 5.22 4.83 4.25 3.87 3.81 3.78 3.78 3.83 9.477121254719663 0.0152
1.0 5661.0 -0.06 4.47 0.966 0.306 4.98 4.58 4.24 3.77 3.45 3.41 3.39 3.38 3.42 9.477121254719663 0.0152
1.1 5974.0 0.17 4.36 1.143 0.574 4.34 3.99 3.68 3.28 3.01 2.97 2.96 2.96 2.98 9.477121254719663 0.0152
1.2 6191.0 0.39 4.25 1.366 0.77 3.77 3.45 3.17 2.81 2.58 2.54 2.53 2.53 2.54 9.477121254719663 0.0152
1.3 6177.0 0.56 4.11 1.671 0.88 3.34 3.02 2.74 2.38 2.14 2.11 2.1 2.1 2.11 9.477121254719663 0.0152
0.07 1631.0 -4.29 5.38 0.09 0.0 23.42 19.71 17.43 14.08 12.94 12.08 11.17 10.79 11.44 9.602059991327963 0.0152
0.072 1790.0 -4.12 5.38 0.091 0.0 22.46 18.98 16.68 13.23 12.34 11.7 10.88 10.54 11.23 9.602059991327963 0.0152
0.075 2041.0 -3.88 5.39 0.092 0.0 21.88 18.46 16.0 12.31 11.67 11.34 10.65 10.3 11.05 9.602059991327963 0.0152
0.08 2343.0 -3.58 5.35 0.099 0.0 20.27 17.16 14.58 11.44 10.93 10.65 10.17 9.86 10.5 9.602059991327963 0.0152
0.09 2644.0 -3.25 5.29 0.113 0.0 18.0 15.52 13.14 10.74 10.22 9.91 9.56 9.31 9.63 9.602059991327963 0.0152
0.1 2811.0 -3.06 5.25 0.124 0.0 16.48 14.52 12.33 10.32 9.79 9.48 9.17 8.96 9.17 9.602059991327963 0.0152
0.11 2916.0 -2.92 5.22 0.135 0.0 15.8 13.94 11.86 10.01 9.48 9.19 8.91 8.71 8.88 9.602059991327963 0.0152
0.13 3046.0 -2.73 5.17 0.156 0.0 14.62 13.11 11.22 9.56 9.03 8.75 8.5 8.31 8.45 9.602059991327963 0.0152
0.15 3131.0 -2.58 5.13 0.174 0.0 13.76 12.51 10.77 9.24 8.71 8.43 8.18 8.02 8.12 9.602059991327963 0.0152
0.17 3192.0 -2.46 5.1 0.192 0.0 13.27 12.1 10.44 8.97 8.43 8.17 7.93 7.77 7.86 9.602059991327963 0.0152
0.2 3262.0 -2.32 5.06 0.217 0.0 12.73 11.61 10.03 8.63 8.09 7.83 7.61 7.46 7.54 9.602059991327963 0.0152
0.3 3416.0 -1.97 4.97 0.297 0.0 11.51 10.5 9.09 7.81 7.26 7.02 6.82 6.69 6.76 9.602059991327963 0.0152
0.4 3520.0 -1.71 4.89 0.376 0.0 10.67 9.72 8.42 7.2 6.64 6.4 6.22 6.11 6.18 9.602059991327963 0.0152
0.5 3680.0 -1.45 4.8 0.465 0.0 9.72 8.86 7.72 6.6 6.0 5.79 5.64 5.55 5.63 9.602059991327963 0.0152
0.6 3979.0 -1.15 4.72 0.561 0.0 8.6 7.83 6.95 5.96 5.32 5.16 5.05 5.01 5.11 9.602059991327963 0.0152
0.7 4418.0 -0.85 4.66 0.646 0.0 7.48 6.75 6.17 5.32 4.72 4.62 4.56 4.55 4.66 9.602059991327963 0.0152
0.8 4878.0 -0.56 4.61 0.736 0.0 6.46 5.89 5.43 4.74 4.27 4.2 4.15 4.15 4.23 9.602059991327963 0.0152
0.9 5297.0 -0.29 4.53 0.85 0.068 5.63 5.16 4.78 4.21 3.83 3.77 3.74 3.74 3.8 9.602059991327963 0.0152
1.0 5697.0 -0.03 4.44 0.994 0.306 4.88 4.49 4.16 3.69 3.38 3.34 3.32 3.32 3.35 9.602059991327963 0.0152
1.1 5996.0 0.23 4.32 1.204 0.574 4.2 3.86 3.55 3.16 2.89 2.86 2.84 2.84 2.86 9.602059991327963 0.0152
1.2 6053.0 0.43 4.17 1.491 0.77 3.69 3.36 3.06 2.67 2.42 2.38 2.37 2.37 2.39 9.602059991327963 0.0152
0.07 1627.0 -4.3 5.38 0.09 0.0 23.43 19.72 17.44 14.1 12.96 12.09 11.17 10.81 11.43 9.698970004336019 0.0152
0.072 1790.0 -4.12 5.38 0.091 0.0 22.46 18.98 16.68 13.23 12.35 11.7 10.88 10.54 11.23 9.698970004336019 0.0152
0.075 2038.0 -3.89 5.39 0.091 0.0 21.9 18.47 16.01 12.33 11.68 11.35 10.65 10.3 11.05 9.698970004336019 0.0152
0.08 2343.0 -3.58 5.35 0.099 0.0 20.27 17.16 14.58 11.44 10.93 10.65 10.17 9.86 10.5 9.698970004336019 0.0152
0.09 2644.0 -3.25 5.29 0.113 0.0 18.0 15.52 13.14 10.74 10.22 9.91 9.56 9.31 9.63 9.698970004336019 0.0152
0.1 2811.0 -3.06 5.25 0.124 0.0 16.48 14.52 12.33 10.32 9.79 9.48 9.17 8.96 9.17 9.698970004336019 0.0152
0.11 2916.0 -2.92 5.22 0.135 0.0 15.8 13.94 11.86 10.01 9.48 9.19 8.91 8.7 8.88 9.698970004336019 0.0152
0.13 3046.0 -2.73 5.17 0.156 0.0 14.62 13.11 11.21 9.56 9.03 8.75 8.5 8.31 8.45 9.698970004336019 0.0152
0.15 3131.0 -2.58 5.13 0.175 0.0 13.76 12.51 10.77 9.24 8.71 8.43 8.18 8.02 8.12 9.698970004336019 0.0152
0.17 3192.0 -2.46 5.1 0.192 0.0 13.27 12.09 10.43 8.97 8.43 8.16 7.93 7.77 7.86 9.698970004336019 0.0152
0.2 3262.0 -2.32 5.06 0.218 0.0 12.72 11.61 10.03 8.63 8.09 7.83 7.6 7.45 7.54 9.698970004336019 0.0152
0.3 3416.0 -1.96 4.96 0.299 0.0 11.5 10.49 9.08 7.8 7.25 7.0 6.81 6.67 6.74 9.698970004336019 0.0152
0.4 3521.0 -1.71 4.89 0.377 0.0 10.66 9.71 8.41 7.2 6.63 6.4 6.22 6.1 6.17 9.698970004336019 0.0152
0.5 3682.0 -1.44 4.8 0.467 0.0 9.72 8.85 7.71 6.59 6.0 5.79 5.63 5.55 5.63 9.698970004336019 0.0152
0.6 3984.0 -1.15 4.72 0.562 0.0 8.58 7.81 6.94 5.95 5.31 5.15 5.04 5.0 5.1 9.698970004336019 0.0152
0.7 4430.0 -0.84 4.66 0.648 0.0 7.45 6.73 6.15 5.3 4.71 4.61 4.55 4.54 4.65 9.698970004336019 0.0152
0.8 4896.0 -0.55 4.6 0.742 0.0 6.42 5.85 5.4 4.72 4.24 4.17 4.13 4.13 4.2 9.698970004336019 0.0152
0.9 5325.0 -0.27 4.52 0.863 0.066 5.56 5.11 4.72 4.16 3.79 3.73 3.7 3.7 3.76 9.698970004336019 0.0152
1.0 5732.0 0.01 4.41 1.028 0.306 4.78 4.39 4.06 3.61 3.3 3.26 3.24 3.24 3.27 9.698970004336019 0.0152
1.1 5971.0 0.27 4.26 1.281 0.574 4.09 3.74 3.43 3.03 2.77 2.73 2.71 2.71 2.73 9.698970004336019 0.0152
0.07 1626.0 -4.3 5.38 0.09 0.0 23.43 19.72 17.44 14.1 12.96 12.09 11.18 10.81 11.43 9.903089986991944 0.0152
0.072 1789.0 -4.12 5.38 0.091 0.0 22.46 18.98 16.68 13.24 12.35 11.7 10.88 10.54 11.23 9.903089986991944 0.0152
0.075 2036.0 -3.89 5.39 0.091 0.0 21.9 18.47 16.02 12.33 11.69 11.35 10.66 10.3 11.06 9.903089986991944 0.0152
