Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
UFMG_34,o,233.84304383151087,-57.66728475290947,0.41,0.055,0.97,0,8.92,8.99,9.06,0.1,0.23,0.34,3.4,3.5,3.6,11.15,11.32,11.48,1.4752085549191234,-1.092732491349619,-0.0098498665701325,6.736
Teutsch_14a,o,270.86752059472013,-22.14068530076917,0.306,0.068,0.12,1,7.17,7.3,7.44,-0.18,-0.0,0.15,4.81,4.93,5.04,11.89,12.18,12.47,2.703113979659789,0.3749222520517368,0.0331238541136002,5.432
CWNU_490,o,192.98183153607923,-60.83496438233295,0.507,0.029,0.97,0,7.17,7.27,7.38,-0.31,-0.2,-0.06,0.93,1.0,1.08,10.95,11.15,11.35,0.9243132629991412,-1.4235038139715628,0.0995881191481783,7.337
CWNU_2558,o,101.2618720895294,0.9032071560518375,0.667,0.045,1.0,0,8.18,8.32,8.44,-0.04,0.08,0.22,0.77,0.84,0.91,10.67,10.83,11.02,-1.250769409874971,-0.7634316079864683,0.0189745499405569,9.404
BH_56,o,134.40658365252452,-43.1309475966226,1.103,0.045,0.97,0,6.63,6.73,6.84,-0.22,-0.12,-0.01,0.98,1.06,1.13,9.6,9.8,9.98,-0.0879794213249667,-0.9073870944816972,0.0674334302484093,8.26
HSC_1341,o,80.5872541099037,35.55399196031121,0.965,0.061,0.96,0,7.84,8.0,8.17,0.42,0.57,0.74,0.43,0.55,0.64,9.77,10.0,10.24,-0.9896634916780602,0.1430659374692521,0.0348477475264183,9.113
FSR_1172,o,103.8847289296161,-11.029894719788803,0.408,0.048,1.0,0,8.35,8.44,8.55,0.25,0.41,0.58,1.66,1.74,1.84,11.65,11.87,12.05,-1.7198572821621934,-1.616274463986841,-0.123421778448857,9.974
HSC_961,o,7.874927069017144,59.57131717092676,0.621,0.041,0.97,0,8.69,8.82,8.92,0.5,0.64,0.78,1.46,1.56,1.64,10.9,11.07,11.26,-0.8273379774341638,1.409488303860843,-0.0477243866325655,9.06
CWNU_313,o,295.32927842168743,-0.6807115030239752,1.725,0.045,0.98,0,7.39,7.49,7.58,0.1,0.26,0.38,0.92,1.0,1.08,8.79,8.97,9.13,0.4799308514563529,0.3762036973889308,-0.0825787620438247,7.651
UBC_423,o,48.335640030897466,58.95357507183837,0.39,0.037,0.97,0,7.09,7.19,7.3,0.51,0.67,0.81,2.54,2.61,2.69,11.79,11.98,12.21,-1.915919912761094,1.5878787159176335,0.0885123089013628,10.163
UBC_1205,o,8.331406621223952,65.2797447509341,0.253,0.057,0.96,1,8.2,8.31,8.46,-0.17,0.02,0.2,3.79,3.92,4.05,12.69,13.01,13.32,-2.059751239102006,3.4236275096554216,0.2195608812646545,10.742
UBC_1455,o,131.69391671964468,-54.638180935392,0.708,0.03,0.99,0,8.75,8.83,8.9,0.72,0.88,1.04,0.49,0.57,0.65,10.94,11.13,11.34,0.0638449141117938,-1.66856159427941,-0.1662976406866964,8.229
UBC_1537,o,232.82669094377792,-57.993003493209216,0.447,0.051,0.97,0,8.32,8.43,8.53,0.32,0.46,0.63,2.69,2.77,2.86,11.17,11.37,11.54,1.4972180561529234,-1.1347424834072342,-0.0094787562089008,6.721
ESO_393-15,o,265.90771465721,-34.21879543791516,0.382,0.048,0.95,0,7.29,7.5,7.68,-1.22,-1.01,-0.79,3.31,3.46,3.59,10.49,10.82,11.14,1.4524439340142283,-0.1201143398815249,-0.0231732784538545,6.671
NGC_6981,g,313.36618975396703,-12.535770742799802,0.041,0.068,0.48,0,9.73,9.82,9.93,-0.32,-0.15,0.03,0.0,0.07,0.19,14.29,14.56,14.82,5.607362782934467,3.958282214869469,-4.382251279178752,4.689
CWNU_1092,o,90.89207460114388,8.23928857168848,2.383,0.058,0.9,0,7.22,7.33,7.46,0.24,0.36,0.5,0.52,0.65,0.77,7.94,8.16,8.39,-0.3998545675620075,-0.1460274972692984,-0.0076425538658898,8.523
Berkeley_98,o,340.66146105136727,52.40763964642494,0.253,0.045,0.96,0,9.35,9.43,9.52,-1.07,-0.91,-0.76,1.36,1.47,1.6,11.83,12.07,12.29,-0.6193785790392496,2.506414582247909,-0.211361829036573,9.094
Theia_766,o,270.30215829669777,-37.88447030182048,1.423,0.039,1.0,0,8.4,8.56,8.72,-0.84,-0.7,-0.55,0.46,0.56,0.66,8.79,9.03,9.23,0.6307429960649529,-0.0675350401342312,-0.0414454607631075,7.492
HSC_2337,o,160.7896436245135,-53.54147934887487,0.504,0.024,1.0,0,8.05,8.18,8.29,-0.3,-0.16,0.02,0.52,0.6,0.67,11.24,11.43,11.64,0.4817856915196703,-1.864417554032574,0.1976672052428773,7.864
Theia_1756,o,273.8954091835563,-16.500151840314977,0.325,0.077,0.08,3,7.13,7.28,7.43,-0.06,0.12,0.29,4.52,4.65,4.81,12.07,12.43,12.8,2.968240347396879,0.7518766635912585,0.0445837698232284,5.208
HSC_390,o,316.5317135129303,-4.0751026930189855,2.554,0.056,0.82,0,8.12,8.3,8.45,-0.07,0.06,0.18,0.49,0.57,0.65,7.92,8.08,8.25,0.2448307951832928,0.2519014768609865,-0.1757126951262439,7.881
UBC_240,o,121.30489026100138,-33.01462269616145,0.393,0.039,0.99,0,8.2,8.28,8.36,-0.31,-0.15,-0.02,1.53,1.58,1.63,11.68,11.82,11.98,-0.782099336983169,-2.1755967261526754,0.0151151962737178,9.166
CWNU_2573,o,203.2079318067667,-63.85531074068288,0.339,0.032,1.0,0,7.64,7.82,8.02,-0.33,-0.15,0.1,1.29,1.4,1.5,11.55,11.84,12.08,1.4191367369311187,-1.851410793266122,-0.0169757493647102,6.954
CWNU_1024,o,103.15570543500814,-25.58670848138913,2.497,0.048,0.99,0,6.95,7.05,7.14,-0.24,-0.16,-0.08,0.34,0.43,0.5,7.95,8.09,8.21,-0.22710960789043,-0.338067236064354,-0.0378136579805918,8.356
CWNU_1566,o,345.8508932741248,60.02582923464232,0.317,0.038,0.48,0,7.08,7.2,7.33,0.41,0.6,0.81,3.02,3.13,3.22,12.7,12.98,13.24,-1.3373307967360475,3.710947336591445,0.0404669166798718,10.161
FSR_1335,o,123.03478454562666,-28.97821373071222,0.16,0.046,0.97,0,8.65,8.78,8.92,-0.66,-0.52,-0.34,0.42,0.53,0.65,12.48,12.71,12.97,-1.323183408156245,-3.2178203796209752,0.2108208432972475,9.978
Alessi-Teutsch_5,o,332.08485482652884,61.065066633185495,1.123,0.047,1.0,0,6.58,6.7,6.8,-0.35,-0.23,-0.1,1.31,1.41,1.51,9.52,9.74,9.93,-0.2207615578582338,0.8567568934333947,0.1069145438584206,8.387
CWNU_1512,o,105.00509131171702,-3.973222098661254,0.374,0.044,0.86,0,8.24,8.37,8.51,0.15,0.3,0.46,1.72,1.87,1.99,11.44,11.71,11.97,-1.7449046599114268,-1.3363148999500274,0.0496801314765167,9.957
HSC_2203,o,141.9914145419279,-47.32773120490756,0.245,0.061,0.2,0,7.82,7.92,8.02,-0.01,0.12,0.24,4.83,4.93,5.03,13.72,13.94,14.17,0.1264917889225856,-6.12998841827158,0.320218834263975,10.075
UBC_614,o,80.10498869756712,30.212419114307096,0.518,0.042,0.62,0,8.78,8.88,8.98,0.1,0.27,0.42,1.09,1.25,1.35,11.14,11.36,11.58,-1.8619670831403248,0.1320241510768223,-0.0808773105575514,9.985
ESO_312-04,o,126.75332906165356,-41.25576327547287,0.171,0.05,0.13,0,7.89,8.02,8.17,0.28,0.48,0.67,2.29,2.37,2.45,13.18,13.44,13.68,-0.889428840003804,-4.791344395192303,-0.1008454733934148,10.206
NGC_744,o,29.638153122314023,55.47405845551413,0.724,0.047,0.99,0,8.34,8.41,8.47,0.06,0.18,0.3,1.16,1.22,1.28,10.66,10.79,10.9,-0.9650222164288672,1.0562922318439167,-0.1102841211556076,9.148
DBSB_64,o,170.69864866172313,-58.95963158820022,1.072,0.026,0.99,0,8.02,8.11,8.22,-0.11,0.04,0.19,0.2,0.28,0.36,9.6,9.76,9.93,0.3311039852394364,-0.8313679768719673,0.0714854117386593,7.835
NGC_366,o,16.61385593357008,62.21243251318128,0.369,0.053,0.94,0,7.52,7.62,7.73,0.74,0.89,1.03,3.27,3.34,3.42,12.5,12.7,12.9,-1.9729193801114369,2.851161136694955,0.009842407855193,10.49
HSC_1494,m,97.12423245567425,24.84825731465487,0.333,0.059,0.96,0,8.71,8.86,9.0,-0.08,0.05,0.22,0.24,0.33,0.43,11.73,11.93,12.16,-2.3915873674317965,-0.3459681925638519,0.3174710210029778,10.519
Collinder_140,o,110.8987001699817,-32.08657143891137,2.596,0.048,0.99,0,7.14,7.19,7.27,-0.14,-0.07,0.01,0.43,0.49,0.55,7.89,8.0,8.13,-0.1664156315138463,-0.3575862318756277,-0.0124220169045068,8.296
ESO_368-14,o,116.7525755725991,-32.96752123251476,0.254,0.052,0.95,0,7.97,8.07,8.17,0.16,0.35,0.54,3.58,3.66,3.73,12.7,12.92,13.17,-1.421694653206904,-3.554428363035095,-0.218923738322125,10.184
Alessi_59,m,103.27321037254386,1.887681550996153,0.217,0.067,0.98,0,7.86,8.01,8.15,0.03,0.2,0.4,1.37,1.44,1.53,12.61,12.82,13.07,-3.125433649381579,-1.910929791758586,0.1281734377101874,11.409
UBC_85,o,18.935470918272333,57.79523018184749,0.344,0.049,1.0,0,8.06,8.14,8.23,-0.04,0.11,0.27,1.48,1.54,1.6,11.97,12.14,12.3,-1.5762119310642897,2.1546199249706515,-0.1842935103598449,9.935
UBC_1186,o,358.5551545200751,51.44387259602377,0.585,0.041,1.0,0,8.49,8.6,8.7,0.07,0.23,0.39,0.0,0.09,0.17,10.69,10.85,11.04,-0.5905581505674995,1.3297201283260387,-0.2245120377885083,8.813
HSC_618,o,306.929370865594,40.02120379788158,1.026,0.045,0.31,3,7.31,7.64,7.98,-0.41,-0.15,0.13,1.55,1.76,2.01,10.73,11.24,11.73,0.3511096350394549,1.7347463214159735,0.0677084458479155,7.962
Alessi_43,o,132.64478106701273,-41.71994402518536,1.06,0.05,0.66,1,6.41,6.56,6.73,-0.29,-0.1,0.1,1.1,1.24,1.36,9.7,9.98,10.28,-0.1285263393417448,-0.982096455915068,0.0682200558881373,8.309
UBC_1210,o,14.13848870770781,66.9535212254945,0.249,0.049,0.76,0,8.26,8.39,8.51,-0.17,0.04,0.26,2.53,2.64,2.74,12.5,12.78,13.08,-1.9763937882349936,2.9945561534601035,0.3030463106069235,10.533
Theia_2052,o,250.9490483019401,-47.09500970774129,0.367,0.041,1.0,0,7.72,7.97,8.18,-1.13,-0.87,-0.57,1.83,2.02,2.18,11.03,11.38,11.83,1.75323648299055,-0.6998868417588842,0.0111867139407468,6.407
HSC_1390,o,67.21994509118896,18.47359664733781,4.442,0.065,0.02,0,7.13,7.52,7.99,0.05,0.25,0.48,0.46,0.66,0.87,6.63,6.93,7.21,-0.2281529906181436,0.007091305066303,-0.042304325126536,8.35
UBC_229,o,119.29965174163316,-22.81040506507785,0.386,0.037,1.0,0,8.1,8.19,8.26,-0.26,-0.12,0.01,0.84,0.89,0.95,11.68,11.82,11.96,-1.1320940882996346,-2.0116629085054294,0.172590865826061,9.47
HSC_1334,o,80.6339504563464,36.98588041789378,1.059,0.05,0.87,0,8.37,8.52,8.64,-0.39,-0.22,-0.04,0.73,0.82,0.93,9.67,9.85,10.0,-0.9207095649004752,0.1521623826298844,0.0490196716902354,9.044
HSC_1034,o,25.948966703718817,63.117633740605285,0.286,0.053,1.0,0,8.06,8.17,8.25,-0.12,0.01,0.15,2.3,2.38,2.45,12.45,12.62,12.81,-2.094146590039154,2.603859537730429,0.0962488225452546,10.543
UBC_1598,o,313.89931669988545,49.10203627254828,0.361,0.033,0.76,0,8.48,8.58,8.67,-0.49,-0.37,-0.26,3.24,3.34,3.42,12.35,12.57,12.77,0.070357732171205,3.26193416440959,0.1858229384422778,8.687
OCSN_40,o,325.9939694073099,56.37590606604967,2.463,0.049,0.96,0,6.68,6.77,6.85,-0.3,-0.23,-0.14,0.91,0.99,1.06,7.92,8.06,8.19,-0.064416584911747,0.4037691662855007,0.0592584119277733,8.196
HSC_907,o,352.53227122798484,62.58165559785097,0.324,0.045,0.98,0,7.86,8.02,8.15,-0.11,0.1,0.27,3.51,3.66,3.78,12.16,12.45,12.78,-1.2429269126167632,2.82852999955791,0.1080107150399162,9.783
Czernik_5,o,28.970707836392737,61.34779398747426,0.27,0.061,0.99,0,8.41,8.49,8.57,-0.04,0.11,0.26,3.39,3.46,3.53,12.39,12.56,12.78,-2.114613352036457,2.468960848251113,0.0150453033777097,10.53
UBC_1263,o,66.23606528400944,44.32021761946035,0.312,0.053,0.99,0,7.29,7.39,7.48,0.02,0.21,0.38,2.26,2.33,2.39,12.5,12.76,12.99,-3.3004564565423387,1.32984148210243,-0.1683382157121842,11.5
UBC_626,o,106.47468352428884,-2.3256345638361986,0.189,0.062,1.0,0,8.95,9.03,9.12,-0.78,-0.62,-0.48,0.89,0.96,1.04,12.19,12.37,12.53,-2.3875735219251077,-1.7767947359374263,0.1596088248185497,10.659
UBC_155,o,318.42646841369464,50.15540117382262,0.599,0.043,0.95,0,7.65,7.76,7.87,0.26,0.41,0.55,3.77,3.86,3.94,10.98,11.16,11.39,-0.0449874074332186,1.705196546433262,0.0731530059351444,8.343
Berkeley_79,o,281.2477432284191,-1.1517482398266594,0.403,0.07,0.74,0,8.21,8.3,8.38,0.21,0.33,0.45,3.39,3.45,3.53,11.42,11.61,11.79,1.7957746347840755,1.0862845750836032,0.070297983234531,6.419
HSC_408,o,289.5638822550883,14.465275006585026,0.184,0.056,0.03,0,7.72,7.85,8.0,-0.46,-0.26,-0.09,4.42,4.56,4.67,12.89,13.2,13.59,2.873623958784041,3.2854950906554983,0.0922715225959122,6.192
Collinder_115,o,101.64100128895237,1.852071927082629,0.488,0.051,1.0,0,8.14,8.23,8.32,-0.04,0.07,0.19,0.92,0.99,1.05,11.23,11.36,11.49,-1.6080174192918584,-0.9558411405179046,0.0378976435857888,9.777
Theia_817,o,274.73825241703327,24.266311158838263,2.732,0.036,0.94,0,8.23,8.4,8.55,0.27,0.39,0.49,0.52,0.6,0.67,7.71,7.9,8.04,0.224846657209313,0.2845119176309837,0.1558493015720723,7.902
CWNU_1310,o,300.1206432425909,32.80046418432166,0.239,0.042,0.45,0,8.23,8.35,8.45,0.16,0.36,0.54,3.18,3.29,3.4,12.33,12.57,12.8,1.1426216359417118,3.058467314454159,0.12043882277467,7.62
HSC_2144,o,133.90234613890644,-45.50292508373276,1.186,0.042,0.79,0,6.42,6.63,6.82,-0.53,-0.31,-0.07,0.96,1.13,1.29,9.64,9.99,10.37,-0.0689631163135882,-0.9930059721729936,0.038209057641242,8.251
Berkeley_27,o,102.84746936726653,5.768231757402661,0.216,0.106,0.98,0,9.22,9.3,9.37,-0.87,-0.76,-0.63,1.59,1.69,1.79,12.41,12.58,12.75,-2.8991130717475397,-1.5280505261979238,0.1987709036424981,11.127
UBC_1250,o,53.25697455155744,51.244163666198105,0.337,0.049,0.58,0,7.84,7.96,8.07,0.57,0.74,0.91,2.54,2.64,2.73,12.12,12.31,12.6,-2.422652115929236,1.5773481925417612,-0.1512735853172183,10.662
HSC_839,o,344.28667344096493,56.855193662041394,0.306,0.034,0.94,0,7.86,8.0,8.14,0.51,0.7,0.87,1.38,1.49,1.6,12.42,12.73,13.03,-1.0714373255070289,3.3446473457569104,-0.1157958408153557,9.783
OCSN_6,m,274.0776022878289,-8.776677847514708,2.332,0.057,0.1,1,7.22,7.33,7.43,-0.14,0.01,0.16,2.17,2.27,2.35,8.13,8.29,8.45,0.4236916495524205,0.1634560578211391,0.0699585354702254,7.7
HSC_1691,o,106.03943431239132,-0.0736106962882447,0.781,0.048,1.0,0,8.64,8.73,8.81,0.31,0.45,0.58,0.47,0.53,0.6,10.46,10.6,10.75,-1.0855897984425518,-0.7448067448432374,0.1086872824136073,9.238
Theia_2421,o,298.0541173254587,24.91212151574541,0.636,0.047,0.99,0,8.18,8.3,8.38,0.55,0.69,0.8,2.59,2.66,2.75,10.87,11.04,11.23,0.7617277556348876,1.4229718449627011,0.0081922231182441,7.497
UBC_634,o,109.9852150513958,-19.01154335971382,0.327,0.044,0.99,0,8.1,8.22,8.34,-0.3,-0.08,0.13,1.06,1.15,1.25,12.03,12.26,12.53,-1.7011619656508437,-2.260126532714496,-0.0790898455995936,10.08
HSC_2004,o,120.76267850396783,-31.30138206894119,0.877,0.04,0.74,2,7.27,7.54,7.83,0.5,0.75,0.97,0.0,0.0,0.11,10.07,10.4,10.72,-0.4399401909614138,-1.1188663830930747,0.0389579229502254,8.635
HSC_1534,o,101.24342250649822,20.80873113874615,1.3,0.055,0.96,0,7.52,7.62,7.72,-0.18,-0.05,0.07,0.19,0.27,0.34,9.51,9.65,9.8,-0.8190382025541485,-0.1979102389993648,0.1616012128900101,8.943
UBC_1031,o,280.22779305472375,-9.69291229639392,0.391,0.058,0.37,0,9.04,9.1,9.19,-0.42,-0.27,-0.13,3.55,3.64,3.76,11.55,11.78,11.99,2.0861420322875857,0.8903004969537802,-0.0465703774437921,6.101
HSC_594,o,280.87828371188203,44.427724491236106,4.396,0.055,1.0,0,8.28,8.41,8.54,0.07,0.19,0.33,0.36,0.46,0.58,6.57,6.8,7.0,0.0612686310468202,0.2065093695449108,0.1196002826781948,8.063
HSC_1385,o,85.04694853454865,31.8244952832346,1.311,0.027,0.99,0,8.97,9.09,9.23,-0.34,-0.17,0.0,0.86,1.0,1.15,9.28,9.51,9.72,-0.7967663586296343,0.0427731090170477,0.0509225073954689,8.919
Patchick_3,o,79.0947923994917,45.58552061771128,0.582,0.041,1.0,0,9.03,9.1,9.15,0.2,0.31,0.43,0.96,1.03,1.11,10.96,11.1,11.26,-1.581399143621054,0.4867526316041859,0.1696354998702405,9.716
UBC_235,o,117.30322681664347,-29.31649397766021,0.575,0.037,0.98,0,8.26,8.36,8.43,-0.0,0.15,0.29,0.97,1.03,1.1,10.9,11.07,11.21,-0.6840882781020792,-1.486256317173444,-0.0052750646715438,8.931
HSC_2297,o,133.62749372685786,-63.55253272737057,2.257,0.041,0.21,0,7.61,7.74,7.9,-0.23,-0.11,0.03,0.66,0.74,0.82,8.18,8.35,8.49,0.0785844008934049,-0.4509191003297433,-0.0547161699522799,8.056
Hogg_15,o,190.90735352104053,-63.10263841883019,0.288,0.048,0.06,1,7.18,7.3,7.42,0.55,0.73,0.91,3.57,3.66,3.74,12.23,12.51,12.81,1.685755273864359,-2.692680582851578,0.0237368583487397,6.977
NGC_6760,g,287.7969469906698,1.0299919750166433,0.095,0.075,0.35,0,9.52,9.6,9.67,-0.5,-0.35,-0.24,2.22,2.3,2.38,14.17,14.34,14.52,5.946507214241037,4.338129138648836,-0.4782745694970499,4.853
Alessi_116,o,310.15890219140164,20.19054196611352,1.077,0.034,0.99,0,8.9,8.99,9.09,-0.38,-0.2,-0.04,0.39,0.5,0.62,9.5,9.69,9.86,0.369115069184053,0.7594278615700922,-0.155036578520858,7.79
HSC_1927,o,111.8259819629192,-27.170180699408785,0.225,0.052,0.99,0,9.02,9.13,9.25,-0.52,-0.32,-0.14,1.37,1.49,1.6,13.06,13.29,13.53,-2.1952216738810257,-3.967075244245968,-0.3386793206100735,11.054
COIN-Gaia_7,o,33.79656474392697,58.45432928493591,0.665,0.048,1.0,0,7.75,7.86,7.99,0.22,0.34,0.47,1.67,1.73,1.8,10.86,11.04,11.22,-1.1146769543195774,1.16551542516083,-0.0302557873185897,9.31
ASCC_95,o,274.0948108014732,-25.73979174579416,0.836,0.038,0.99,0,7.6,7.72,7.82,-0.88,-0.72,-0.54,1.33,1.44,1.54,9.85,10.05,10.26,1.0142712122779791,0.1095405540778221,-0.0386330994594263,7.109
Theia_180,o,308.2386340249403,6.911647708167897,1.646,0.043,0.58,0,8.23,8.39,8.52,0.33,0.44,0.56,0.21,0.29,0.35,8.84,8.99,9.14,0.3694975295104727,0.4649763466000567,-0.1627172935853933,7.766
CWNU_37,o,276.72503594508044,-12.51595864954151,0.462,0.059,0.16,0,8.83,8.93,9.03,-0.87,-0.7,-0.54,3.79,3.91,4.03,10.66,10.93,11.16,1.450814696462599,0.5000974705326955,0.0287236137069784,6.69
HSC_617,o,312.4598083067818,36.61383643580344,2.429,0.04,0.87,0,7.31,7.44,7.57,0.02,0.16,0.31,0.65,0.74,0.86,8.1,8.27,8.48,0.0896110425664336,0.4402991511750016,0.0048986064558135,8.044
CWNU_2409,o,122.53891918572842,-25.76882571535165,0.318,0.031,0.72,0,9.12,9.21,9.3,-0.14,0.06,0.23,0.21,0.31,0.42,11.81,12.05,12.24,-1.0949579379318806,-2.317965953603787,0.228621671227265,9.504
CWNU_1315,o,132.73040535644566,-47.67942814298755,0.214,0.045,0.87,0,8.56,8.64,8.72,-0.39,-0.27,-0.11,3.61,3.7,3.82,13.11,13.35,13.62,-0.2303508316747287,-4.668186184004783,-0.1388999011856134,9.568
HSC_974,o,11.377358903725186,67.01694243662448,1.001,0.043,0.84,0,8.26,8.39,8.53,0.11,0.28,0.45,2.85,2.95,3.04,10.1,10.28,10.48,-0.6069241549135693,0.9585217932348128,0.125519922125557,8.781
Hogg_18,o,222.71295954603943,-52.26749274450555,0.552,0.042,0.95,0,7.71,7.82,7.97,0.16,0.33,0.52,1.4,1.51,1.61,10.99,11.27,11.5,1.3823165129418964,-1.1276195205257469,0.238622076045831,6.833
CWNU_1564,o,296.19229403445866,24.06815086901081,0.414,0.044,0.8,0,8.75,8.82,8.9,0.33,0.45,0.57,3.16,3.25,3.35,11.23,11.42,11.61,0.9542128533873891,1.669665669310424,0.0364029790609978,7.36
FSR_1252,o,110.65885268722651,-18.711917306682263,0.274,0.051,1.0,0,9.03,9.09,9.16,-0.69,-0.55,-0.41,1.31,1.39,1.48,11.89,12.07,12.24,-1.5580353016365969,-2.07268136367865,-0.0371498101828672,9.899
UBC_356,o,288.8749951205941,-4.210952340063305,0.914,0.051,1.0,0,8.28,8.36,8.43,0.39,0.48,0.57,1.51,1.56,1.62,10.16,10.27,10.41,0.9532077835539496,0.5937604839732216,-0.1040872205437717,7.193
Theia_1813,o,264.32398928171773,-33.83921175553955,0.254,0.073,0.76,0,8.6,8.8,8.93,-1.47,-1.22,-0.98,4.23,4.44,4.61,13.54,13.94,14.4,6.111927478062034,-0.5455953537367364,-0.090209253205384,2.083
FSR_0935,o,98.77257276520494,17.740871650966945,0.373,0.048,1.0,0,8.51,8.58,8.68,0.28,0.43,0.55,1.22,1.3,1.37,11.99,12.17,12.33,-2.6116224409524715,-0.7140917245743578,0.2616100455073408,10.757
Collinder_220,o,156.42912863846547,-57.92431800776221,0.394,0.034,0.99,0,8.41,8.48,8.56,-0.06,0.09,0.24,0.74,0.81,0.88,11.53,11.68,11.84,0.5445350966891143,-2.098150794639329,0.026941796383809,7.863
ESO_429-05,o,114.27045557278969,-32.209551145725456,0.083,0.048,0.04,0,9.91,10.04,10.15,-0.6,-0.39,-0.17,1.27,1.43,1.58,13.71,14.08,14.45,-2.598641827893399,-5.9775175574254895,-0.5675453982508143,12.274
HSC_1008,o,20.8306972342395,66.95742746178205,0.322,0.048,0.37,0,8.11,8.23,8.32,0.2,0.36,0.5,3.18,3.28,3.37,13.03,13.28,13.52,-2.657066172620034,3.651388667119192,0.3863323709011826,11.381
ASCC_106,o,295.5816159188315,1.4209109947601395,1.324,0.035,1.0,0,8.06,8.16,8.28,0.36,0.5,0.67,1.09,1.19,1.27,9.19,9.4,9.58,0.5700315479417934,0.4801126638082659,-0.0999138344151323,7.567
Loden_372,o,172.77857430604325,-58.50860634303035,0.572,0.032,1.0,0,8.06,8.13,8.22,0.25,0.41,0.53,1.02,1.08,1.14,11.03,11.19,11.34,0.6638955038547198,-1.5952993466733592,0.1226108300610408,7.627
Teutsch_179,o,276.46656518560224,26.45316704702224,2.903,0.045,0.78,0,6.93,7.06,7.18,-0.03,0.07,0.18,0.36,0.46,0.56,7.58,7.73,7.91,0.1957376830465715,0.2736187454428702,0.1437014726629378,7.931
UBC_1221,o,25.523070537271543,59.56165331129633,0.263,0.052,1.0,0,7.02,7.11,7.22,-0.75,-0.61,-0.43,1.64,1.73,1.82,11.82,12.09,12.33,-1.657319234252924,2.023391381094222,-0.0766127608618646,9.986
Skiff_J2330+60.2,o,352.708976891958,60.45358990463343,0.334,0.041,0.17,0,8.0,8.14,8.29,0.11,0.34,0.55,2.92,3.01,3.11,12.0,12.26,12.55,-1.1130859100140589,2.6030975448538185,0.0010503947783552,9.595
HSC_1969,o,127.41235228444344,-22.666737492205908,2.33,0.041,0.98,0,7.77,7.94,8.08,0.2,0.31,0.42,0.29,0.37,0.46,8.06,8.23,8.41,-0.1869793233185195,-0.3943038129107622,0.1153410499502072,8.318
Theia_943,m,81.19187985455589,34.57158549440211,1.756,0.047,0.65,0,8.39,8.53,8.64,-0.14,-0.03,0.1,0.77,0.84,0.92,8.58,8.71,8.86,-0.5477518228228035,0.0685705652549212,0.0364678544221258,8.67
HSC_1871,o,100.44617833152574,-26.103471930318268,2.987,0.041,0.33,0,7.56,7.67,7.8,0.18,0.3,0.41,0.3,0.4,0.5,7.47,7.67,7.83,-0.1881054049886348,-0.2742515294403031,-0.0380390209233962,8.315
HSC_1970,o,117.96442685976034,-27.88598156186478,0.776,0.035,1.0,0,8.2,8.36,8.5,-0.48,-0.31,-0.15,0.29,0.38,0.47,10.16,10.36,10.56,-0.5108780215045101,-1.0639838070061496,0.0331327405384803,8.698
UBC_1356,o,110.47328570826218,-6.536490094025293,0.236,0.052,0.98,0,8.48,8.57,8.68,-0.12,0.06,0.26,0.79,0.88,0.99,12.56,12.77,13.01,-2.6449878202400257,-2.401959238605509,0.2820083612234594,11.032
Theia_5761,o,322.73625854085407,52.8299245468769,0.293,0.055,0.1,1,7.82,7.97,8.1,0.12,0.3,0.44,3.87,3.96,4.07,12.69,12.97,13.27,-0.3626030760980629,3.9089684302471297,0.1155596800276869,9.342
FSR_1666,o,207.04056100261693,-61.44638954481352,0.275,0.047,0.03,3,7.04,7.22,7.43,-0.58,-0.31,-0.08,4.36,4.57,4.81,12.01,12.51,12.94,2.02742600394054,-2.445631775600644,0.0742477136730936,6.567
CWNU_2389,o,253.47290104312063,-46.73465298515765,0.36,0.059,0.44,0,8.46,8.58,8.69,-0.13,0.06,0.21,4.8,4.93,5.06,11.46,11.75,12.01,2.0973427030744363,-0.7790728539994987,-0.0370328832165806,6.075
CWNU_1473,o,98.0816285221184,9.564491538513533,0.473,0.065,0.97,0,8.61,8.8,8.95,0.1,0.26,0.45,0.41,0.51,0.61,11.24,11.46,11.72,-1.8129191328913823,-0.7417565930387431,0.0514619653420842,9.963
Loden_467,o,176.37306164353015,-62.43573669451449,0.2,0.043,0.47,0,7.04,7.22,7.39,-0.19,0.13,0.4,2.43,2.55,2.65,12.38,12.77,13.11,1.5350583416236434,-3.2350565715171125,0.0042842947443377,7.338
HSC_1097,m,29.332901810836645,48.20833003822288,0.51,0.053,0.95,0,9.45,9.5,9.56,-0.38,-0.28,-0.15,0.39,0.45,0.51,11.09,11.21,11.34,-1.184251248716775,1.2199370487449883,-0.3548019216967761,9.386
NGC_6259,o,255.19977179086868,-44.68070477940183,0.424,0.046,0.99,0,8.25,8.37,8.46,-0.55,-0.4,-0.23,2.64,2.74,2.82,10.9,11.12,11.28,1.5921384925767388,-0.5178857003376632,-0.0074700389991093,6.55
OC_0186,o,339.95590020346185,58.6947527751435,0.337,0.042,1.0,0,7.87,7.97,8.07,1.15,1.3,1.51,2.44,2.55,2.63,12.62,12.86,13.13,-1.062340079730328,3.5781119474858176,0.0493386387667577,9.857
