Cluster,kind,RA,DEC,plx,e_plx,CMDclass,quality,logAge_16,logAge_50,logAge_84,FeH_16,FeH_50,FeH_84,Av_16,Av_50,Av_84,dMod_16,dMod_50,dMod_84,X,Y,Z,Rgc
OC_0292,o,85.55033905370136,36.09671076308734,0.578,0.056,0.1,1,7.27,7.44,7.6,-0.01,0.14,0.3,2.02,2.14,2.25,11.17,11.42,11.7,-1.9076396233051456,0.2167536747745541,0.151641326238714,10.032
FSR_0732,o,76.27308891792251,42.37899751498547,0.82,0.039,0.96,0,6.81,6.95,7.05,-0.55,-0.43,-0.27,0.77,0.86,0.95,10.14,10.37,10.6,-1.141256579217469,0.3212147880974075,0.0600719123161686,9.269
HSC_955,m,4.646620733113641,69.34228153564116,0.16,0.049,0.03,1,8.75,8.87,9.0,-0.68,-0.54,-0.34,3.41,3.53,3.66,12.97,13.29,13.58,-2.2598319918663083,3.9128216151557407,0.5747786637993237,11.095
Alessi_34,o,119.5588915293028,-50.713192310178464,2.043,0.04,0.99,0,6.97,7.1,7.19,-0.03,0.09,0.2,0.85,0.92,1.0,8.44,8.57,8.75,-0.0465307715218976,-0.5059640876408975,-0.0571399741851029,8.184
OC_0192,o,343.64236144141347,57.58129586253661,1.067,0.033,1.0,0,7.24,7.32,7.4,-0.59,-0.47,-0.35,1.41,1.48,1.55,9.67,9.86,10.02,-0.285801335734078,0.8924658308567326,0.012796712484615,8.455
FSR_1017,o,79.89101982834788,-1.9807678058731848,30.919,0.06,0.97,2,7.54,7.79,8.03,-0.31,-0.22,-0.11,0.47,0.68,0.88,2.54,2.77,3.0,-0.0305258965882391,-0.0134932525405218,0.0286846757430745,8.153
FSR_0165,o,299.54979825525663,26.75182903205797,0.386,0.047,0.91,0,7.37,7.47,7.56,0.61,0.77,0.88,3.91,3.97,4.04,12.0,12.2,12.39,1.2022060537740318,2.477121472507672,-0.0248048425265748,7.35
HSC_2564,o,198.02862153637545,-62.8880692842079,0.393,0.048,0.34,0,8.83,8.95,9.05,-0.04,0.13,0.29,2.9,3.0,3.1,11.36,11.6,11.82,1.2068816635986934,-1.7054642710288537,0.0344669864140313,7.122
HSC_2813,o,252.5688096030038,-47.38328574920831,0.508,0.049,0.31,0,7.54,7.66,7.75,0.11,0.34,0.5,3.86,3.94,4.02,10.95,11.2,11.42,1.6185061734073116,-0.6300675273939105,-0.017481396816231,6.534
UBC_1074,o,299.8513865529864,30.013827375867976,0.396,0.029,1.0,0,7.77,7.89,8.02,0.03,0.22,0.41,2.05,2.15,2.25,11.91,12.17,12.45,1.060257540455,2.500985141095689,0.0467039247516274,7.492
Collinder_307,o,248.78760237283367,-50.984123809037776,0.511,0.046,0.98,0,8.31,8.41,8.5,0.66,0.83,0.98,2.63,2.72,2.81,11.52,11.74,11.96,2.0076760078372047,-0.9623981104579934,-0.0535687066753206,6.19
CWNU_2621,o,259.7578064483743,-42.3603753421766,0.255,0.074,0.17,3,8.11,8.26,8.42,0.32,0.47,0.68,4.12,4.32,4.51,12.36,12.76,13.14,3.451191807372508,-0.8725007278559966,-0.1426348426132596,4.752
Ruprecht_151,o,115.27317784573005,-16.299480796053857,0.89,0.035,1.0,0,8.82,8.92,8.99,0.05,0.18,0.32,0.22,0.3,0.37,10.03,10.2,10.38,-0.6574942573587865,-0.8752135021100165,0.1043059640649093,8.823
HSC_1090,o,34.64853720897467,59.29018722671839,0.904,0.034,0.94,0,8.06,8.17,8.25,0.51,0.65,0.83,1.79,1.88,1.96,10.32,10.5,10.67,-0.8720480856964787,0.9072576139286852,0.0060683534133262,9.04
UBC_1026,o,278.3763356654863,-10.711747007502105,0.48,0.062,0.99,0,7.76,7.88,8.0,0.49,0.63,0.74,4.25,4.34,4.43,11.23,11.45,11.64,1.8155119768337649,0.7103280157146937,0.0049797486608701,6.346
NGC_2453,o,116.86654476632204,-27.182603326772703,0.216,0.045,0.98,0,8.19,8.27,8.37,0.16,0.31,0.47,1.28,1.34,1.42,12.82,13.01,13.15,-1.7999567349661092,-3.570963585770002,-0.0205226781217268,10.545
UBC_1383,o,114.23697565224435,-21.867277890935505,0.272,0.049,0.94,0,8.82,8.89,8.97,-0.85,-0.75,-0.63,1.68,1.74,1.82,11.85,12.04,12.2,-1.3766087134092242,-2.156626370122135,0.0274733950723658,9.74
Theia_2032,o,248.7928308938752,-46.54585015682573,0.199,0.062,0.03,1,7.21,7.38,7.58,-0.43,-0.19,0.05,4.75,4.9,5.06,12.29,12.68,13.16,3.177775795883571,-1.305393196041545,0.0742377636599892,5.114
CWNU_1055,o,328.0106703595953,65.65062429815879,2.183,0.041,0.83,0,6.66,6.8,6.92,-0.31,-0.15,0.01,0.57,0.68,0.79,8.16,8.39,8.62,-0.1280432419648711,0.4528391643511547,0.115905338434048,8.262
NGC_5946,g,233.8674243564488,-50.66255292880521,0.086,0.067,0.16,0,9.65,9.74,9.83,-0.83,-0.66,-0.52,2.21,2.32,2.44,13.04,13.32,13.55,3.8846509888640552,-2.4666021398618865,0.3686442846202028,4.903
CWNU_1447,o,106.0180223509796,-5.377176264307507,0.419,0.04,0.99,0,7.39,7.51,7.62,-0.25,-0.05,0.15,0.41,0.49,0.58,11.38,11.64,11.88,-1.650126161944522,-1.3437545444561834,0.0587835307685675,9.864
HSC_965,o,9.103996406188102,59.2217089342473,0.299,0.037,1.0,0,7.47,7.58,7.68,-0.18,-0.01,0.19,2.49,2.56,2.64,12.3,12.53,12.78,-1.6489378019583685,2.7426930941505545,-0.1551583846025915,10.149
CWNU_2336,o,204.6463076398312,-61.70064782590557,0.363,0.033,0.4,0,8.65,8.72,8.79,0.3,0.42,0.53,1.65,1.71,1.79,11.67,11.85,12.0,1.45897450217762,-1.8347577676272664,0.064919311541716,6.911
UBC_349,o,280.0708025918705,-7.032695593745856,0.394,0.05,0.74,0,8.04,8.27,8.44,-1.05,-0.81,-0.57,2.67,2.85,3.02,10.6,10.99,11.36,1.424907767783619,0.6767559724210497,0.0176745676358275,6.731
HSC_2412,o,170.53262844855033,-58.43684385984232,0.999,0.033,0.99,0,8.87,9.07,9.22,0.36,0.53,0.68,0.0,0.09,0.18,9.82,10.06,10.27,0.375762672685612,-0.9559408255630126,0.0842271788475843,7.805
NGC_7380,o,341.8547428581228,58.1115712503909,0.347,0.034,0.23,1,6.85,6.96,7.1,0.15,0.32,0.49,1.69,1.8,1.91,11.7,11.95,12.19,-0.7233882719097586,2.345399908351461,0.0046404987446428,9.151
IC_2391,o,130.46657471301768,-53.06637175076748,6.621,0.042,1.0,0,7.53,7.65,7.76,0.05,0.16,0.26,0.41,0.49,0.58,5.71,5.86,5.99,0.0012980269770785,-0.1475730580554825,0.0242615045079144,8.122
UPK_56,o,289.36205684155294,17.571742146746164,1.273,0.043,1.0,0,7.68,7.78,7.89,0.26,0.37,0.5,1.7,1.76,1.83,9.4,9.53,9.68,0.5011965233052953,0.6296238691372911,0.073801846095485,7.647
