Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
ASCC_10          ,51.8737,35.0113,0.498,31,-1.704,0.168,-1.348,0.141,1.465,0.082, -10.870,  5.243,  3,643,30,8.178,0.155,0.109,0.1,0.82,0.11,clusters1/ASCC_10.dat          ,[KPR2005] 10            ,51.8737,35.0113,ASCC_10,0.1844398759659284,-1.4775763624327585,4.8,0.5,51.89373385687954,34.879635888061976
ASCC_101         ,288.419,36.3653,0.357,72,0.924,0.272,1.364,0.289,2.502,0.068, -19.198,  2.884, 14,397,1,8.521,0.162,0.004,0.064,0.152,0.071,clusters1/ASCC_101.dat         ,[KPR2005] 101           ,288.419,36.3653,ASCC_101,-0.3547349234232086,0.2151837244316023,2.4,0.5,288.355397070048,36.396338868819974
ASCC_105         ,295.6291,27.3637,0.678,126,1.461,0.24,-1.611,0.199,1.786,0.066, -14.302,  4.090, 18,545,8,8.328,0.138,0.051,0.055,0.45,0.039,clusters1/ASCC_105.dat         ,[KPR2005] 105           ,295.6291,27.3637,ASCC_105,-0.8233477487351397,0.3577473280648604,3.8,0.5,295.53160283461233,27.4012760826072
ASCC_107         ,297.1623,22.0071,0.156,59,-0.144,0.135,-5.158,0.141,1.118,0.055,        ,       ,   ,864,30,7.44,0.121,0.353,0.103,1.372,0.129,clusters1/ASCC_107.dat         ,[KPR2005] 107           ,297.1623,22.0071,ASCC_107,-0.0267319826978731,-0.4491859015681774,2.1,0.5,297.1603883659368,21.977312422325838
ASCC_108         ,298.3162,39.3132,0.526,228,-0.509,0.101,-1.691,0.129,0.837,0.048,        ,       ,   ,1138,31,8.334,0.108,0.093,0.093,0.464,0.071,clusters1/ASCC_108.dat         ,[KPR2005] 108           ,298.3162,39.3132,ASCC_108,-0.0919882673691105,1.3408489101646983,8.4,0.5,298.31020812205657,39.38070863505244
ASCC_11          ,53.0779,44.8787,0.285,274,0.95,0.196,-3.022,0.202,1.142,0.064, -14.242,  0.233,  3,849,20,8.66,0.063,-0.056,0.064,0.917,0.075,clusters1/ASCC_11.dat          ,[KPR2005] 11            ,53.0779,44.8787,ASCC_11,-0.2987857503435727,-0.641158487623084,4.9,0.5,53.04946547521029,44.835427118734
ASCC_110         ,300.7723,33.5487,0.205,68,0.278,0.069,-3.134,0.075,0.495,0.036,  -1.178,  0.856,  3,1583,143,8.795,0.084,0.14,0.195,1.228,0.122,clusters1/ASCC_110.dat         ,[KPR2005] 110           ,300.7723,33.5487,ASCC_110,-1.0815207128475564,-1.169933438821568,5.4,0.8,300.7253536470488,33.50634606170442
ASCC_111         ,302.7576,37.4883,0.52,153,-1.168,0.218,-1.525,0.163,1.168,0.063, -22.689,  1.165,  8,819,18,8.507,0.209,0.08,0.096,0.605,0.084,clusters1/ASCC_111.dat         ,[KPR2005] 111           ,302.7576,37.4883,ASCC_111,1.7135384588733729,0.2091752106396072,6.4,0.5,302.9087064279247,37.50283732054031
ASCC_113         ,318.0929,38.5861,0.497,96,0.798,0.134,-3.688,0.145,1.762,0.043,  -4.195,  3.867,  5,559,9,8.455,0.226,-0.052,0.111,0.279,0.132,clusters1/ASCC_113.dat         ,[KPR2005] 113           ,318.0929,38.5861,ASCC_113,-1.628297700979492,-0.7990068328087281,2.7,0.5,317.87963212127084,38.504010505260695
ASCC_114         ,324.979,53.999,0.18,149,-3.754,0.21,-3.435,0.145,1.063,0.039,        ,       ,   ,911,12,7.632,0.271,0.035,0.078,1.216,0.091,clusters1/ASCC_114.dat         ,[KPR2005] 114           ,324.979,53.999,ASCC_114,0.4754089102170056,0.0936867199005888,2.4,0.5,325.0298749361121,54.004881525989255
ASCC_115         ,329.3149,51.524,0.239,38,-0.549,0.085,-0.551,0.107,1.313,0.031,        ,       ,   ,742,17,8.389,0.239,0.05,0.174,0.945,0.204,clusters1/ASCC_115.dat         ,[KPR2005] 115           ,329.3149,51.524,ASCC_115,-0.3144591219692385,0.6402513866658239,2.3,0.5,329.2758308407539,51.5734324768357
ASCC_12          ,72.4335,41.7837,0.267,162,-0.616,0.229,-2.81,0.176,0.936,0.083, -69.436,  0.367,  2,1010,36,8.356,0.262,-0.114,0.081,1.088,0.082,clusters1/ASCC_12.dat          ,[KPR2005] 12            ,72.4335,41.7837,ASCC_12,-0.4798272036478881,-0.8468093611169323,3.9,0.5,72.39702318507568,41.73565600070647
ASCC_123         ,340.2234,54.1737,1.136,51,12.309,0.417,-1.553,0.379,4.287,0.15,  -3.225,  1.738,  8,233,1,7.793,0.083,-0.006,0.072,0.306,0.062,clusters1/ASCC_123.dat         ,[KPR2005] 123           ,340.2233,54.1737,ASCC_123,1.224038154456835,-0.9959242226481066,2.4,0.5,340.7346055225783,53.92770813759129
ASCC_127         ,347.1807,64.9151,0.541,113,7.49,0.261,-1.781,0.319,2.618,0.08, -11.267,  2.676, 16,365,10,7.496,0.131,0.152,0.115,0.668,0.08,clusters1/ASCC_127.dat         ,[KPR2005] 127           ,347.1806,64.9151,ASCC_127,0.2987149486052587,0.8106578053643592,2.8,0.5,347.29182894246975,65.04231171668637
ASCC_128         ,349.9374,54.4024,0.457,71,1.213,0.154,0.188,0.131,1.507,0.057,        ,       ,   ,650,11,8.243,0.223,0.025,0.056,0.613,0.037,clusters1/ASCC_128.dat         ,[KPR2005] 128           ,349.9374,54.4024,ASCC_128,-0.0456631761817618,0.1333337207596177,4.9,0.5,349.93048311527514,54.414152817089814
ASCC_13          ,78.3057,44.4212,0.564,110,-0.477,0.111,-1.737,0.108,0.899,0.076,        ,       ,   ,1066,26,7.615,0.098,-0.075,0.078,0.915,0.027,clusters1/ASCC_13.dat          ,[KPR2005] 13            ,78.3057,44.4212,ASCC_13,-0.8057884388306888,-0.4761151509618564,7.4,0.5,78.2450866610193,44.3955935437264
ASCC_16          ,81.2025,1.6256,0.367,207,1.363,0.28,0.002,0.274,2.844,0.113,  21.308,  1.696, 12,348,3,7.088,0.061,-0.062,0.069,0.224,0.045,clusters1/ASCC_16.dat          ,[KPR2005] 16            ,81.2025,1.6256,ASCC_16,-0.1342142566473594,0.2676625586890901,1.8,0.5,81.18039316960017,1.6696686619930208
ASCC_19          ,82.0035,-1.9617,0.613,173,1.112,0.263,-1.303,0.241,2.756,0.088,  23.576,  2.719, 10,356,2,7.139,0.03,0.076,0.077,0.189,0.043,clusters1/ASCC_19.dat          ,[KPR2005] 19            ,82.0035,-1.9617,ASCC_19,-0.3394209724704442,0.1701529441143545,2.5,0.5,81.94884134837939,-1.9343141475378713
ASCC_21          ,82.1423,3.4771,0.419,102,1.381,0.292,-0.61,0.237,2.893,0.132,  15.313,  3.818,  8,343,5,7.102,0.038,-0.008,0.029,0.236,0.048,clusters1/ASCC_21.dat          ,[KPR2005] 21            ,82.1423,3.4771,ASCC_21,-0.0142409878401439,0.6307670187671697,1.8,0.5,82.13991648376674,3.582465327615332
ASCC_23          ,95.0305,46.7183,0.294,121,1.112,0.205,-0.627,0.218,1.583,0.062, -13.420,  1.245, 11,608,12,8.605,0.102,0.025,0.099,0.325,0.097,clusters1/ASCC_23.dat          ,[KPR2005] 23            ,95.0305,46.7183,ASCC_23,0.2457158474357097,0.2448991699248015,3.1,0.5,95.06428906493514,46.7413734656966
ASCC_29          ,103.5647,-1.6507,0.156,54,-1.001,0.167,-1.015,0.12,0.954,0.064,        ,       ,   ,1008,24,7.892,0.165,-0.096,0.071,0.4,0.046,clusters1/ASCC_29.dat          ,[KPR2005] 29            ,103.5647,-1.6507,ASCC_29,0.2315417572710192,-0.7442346205115395,1.9,0.5,103.57786682461507,-1.6930030383797228
ASCC_30          ,104.318,-6.2998,0.286,57,-1.582,0.131,-0.166,0.094,0.898,0.049,        ,       ,   ,1070,45,8.499,0.107,0.049,0.114,0.635,0.115,clusters1/ASCC_30.dat          ,[KPR2005] 30            ,104.318,-6.2998,ASCC_30,-1.130595252315132,2.137431745370641,4.5,0.5,104.25710499076652,-6.185342358115918
ASCC_32          ,105.7112,-26.5758,0.646,255,-3.317,0.232,3.475,0.126,1.24,0.067,  34.607,  4.624, 10,792,11,7.432,0.022,-0.003,0.048,0.22,0.019,clusters1/ASCC_32.dat          ,[KPR2005] 32            ,105.7112,-26.5758,ASCC_32,-0.0561104524608317,1.635362858799084,6.7,0.5,105.70666591618222,-26.4574925337451
ASCC_41          ,116.665,0.1802,0.668,124,0.652,0.297,-4.03,0.277,3.361,0.121, -10.409,  1.935, 23,297,5,8.448,0.223,-0.089,0.056,0.079,0.041,clusters1/ASCC_41.dat          ,[KPR2005] 41            ,116.665,0.1802,ASCC_41,0.1285294443673841,-0.1694308611863562,3.3,0.5,116.68979535132166,0.14751421278327284
ASCC_58          ,153.6049,-54.9491,0.522,134,-13.29,0.221,2.794,0.305,2.06,0.064,  12.331,  3.486, 14,477,4,7.775,0.09,0.057,0.038,0.281,0.038,clusters1/ASCC_58.dat          ,[KPR2005] 58            ,153.605,-54.9491,ASCC_58,0.1800208431759404,-0.3129616000601753,4.0,0.5,153.64258701026878,-54.986686170028946
ASCC_6           ,26.8538,57.7058,0.151,133,-0.847,0.113,0.216,0.117,0.619,0.044,        ,       ,   ,1444,27,7.852,0.104,-0.069,0.071,0.994,0.046,clusters1/ASCC_6.dat           ,[KPR2005] 6             ,26.8538,57.7058,ASCC_6,-0.3055213058025892,0.5597120158264488,2.9,0.5,26.831095851773025,57.7280065133268
ASCC_66          ,168.362,-55.4297,0.094,22,-11.325,0.098,2.961,0.108,0.999,0.045,        ,       ,   ,938,57,8.069,0.154,0.042,0.17,0.354,0.109,clusters1/ASCC_66.dat          ,[KPR2005] 66            ,168.3621,-55.4297,ASCC_66,0.2311911001449544,-0.0932984605198763,2.2,0.5,168.38689151059293,-55.4353964165622
ASCC_67          ,175.2892,-60.9906,0.165,46,-6.775,0.064,0.925,0.059,0.482,0.026,        ,       ,   ,1921,89,7.483,0.227,0.215,0.095,0.81,0.044,clusters1/ASCC_67.dat          ,[KPR2005] 67            ,175.2893,-60.9906,ASCC_67,-0.3691817768035381,-1.0063244644192348,4.2,0.5,175.26647278120328,-61.02061274251357
ASCC_71          ,184.9792,-67.4796,0.189,92,-9.265,0.232,-1.341,0.159,0.795,0.047, -11.371,  0.322,  5,1187,33,8.082,0.135,0.063,0.065,0.916,0.041,clusters1/ASCC_71.dat          ,[KPR2005] 71            ,184.9793,-67.4796,ASCC_71,0.984138892639443,-0.537641343971103,3.7,0.5,185.10336229264328,-67.50550408043487
ASCC_73          ,189.5166,-67.2172,0.768,62,-11.506,0.34,-2.967,0.389,1.503,0.141, -12.681,  3.412,  7,644,11,8.688,0.143,-0.153,0.147,0.69,0.154,clusters1/ASCC_73.dat          ,[KPR2005] 73            ,189.5167,-67.2172,ASCC_73,0.2776206273632695,0.1348257834448532,4.6,0.5,189.58035188712563,-67.20519206925626
ASCC_77          ,212.723,-62.3219,0.131,149,-4.246,0.122,-3.213,0.134,0.844,0.052,        ,       ,   ,1068,56,8.083,0.256,0.211,0.113,0.806,0.093,clusters1/ASCC_77.dat          ,[KPR2005] 77            ,212.723,-62.3219,ASCC_77,-0.2284642409410331,-0.244527183597496,2.1,0.5,212.6966020535825,-62.335015828918635
ASCC_79          ,229.6864,-60.8056,0.818,128,-2.942,0.405,-4.214,0.421,1.178,0.069,  12.322,  1.896,  8,831,4,7.365,0.218,0.043,0.079,0.748,0.064,clusters1/ASCC_79.dat          ,[KPR2005] 79            ,229.6864,-60.8056,ASCC_79,0.7598265976372716,-0.5442352942481214,8.3,0.5,229.79392916005304,-60.84308101718934
ASCC_85          ,251.8216,-45.5406,0.296,115,0.179,0.154,-4.098,0.131,1.125,0.057,  19.977, 11.123,  3,848,24,8.14,0.125,0.097,0.064,0.73,0.057,clusters1/ASCC_85.dat          ,[KPR2005] 85            ,251.8216,-45.5406,ASCC_85,-0.3024893669016313,-0.5347632341857498,3.5,0.5,251.79240101646286,-45.57672797918213
ASCC_87          ,255.5511,-28.3629,0.375,48,-1.173,0.161,-3.83,0.131,1.276,0.077,   4.101,  2.701,  6,774,26,8.684,0.124,0.141,0.086,0.651,0.102,clusters1/ASCC_87.dat          ,[KPR2005] 87            ,255.5511,-28.3629,ASCC_87,1.294272842575836,-0.9723238403008524,4.3,0.5,255.6600535627196,-28.434833555480523
ASCC_88          ,256.8848,-35.5211,0.333,132,0.926,0.189,-3.283,0.151,1.102,0.061, -22.750,  7.581,  3,864,28,8.538,0.24,0.1,0.215,1.851,0.187,clusters1/ASCC_88.dat          ,[KPR2005] 88            ,256.8848,-35.5211,ASCC_88,-0.1444107875118554,-0.4556533781310179,5.7,0.7,256.87302935648233,-35.55131588298786
ASCC_9           ,41.6795,57.7627,0.183,88,0.16,0.087,-1.105,0.072,0.409,0.03,        ,       ,   ,2322,99,6.945,0.07,-0.159,0.078,2.571,0.041,clusters1/ASCC_9.dat           ,[KPR2005] 9             ,41.6795,57.7627,ASCC_9,-0.3285433453619752,-1.3558783213355028,6.0,0.5,41.66431634962273,57.72924254112601
ASCC_90          ,264.7432,-34.8553,0.308,62,-1.618,0.259,-2.706,0.361,1.718,0.053,   7.722,  0.573, 12,554,16,8.798,0.097,0.083,0.114,0.85,0.088,clusters1/ASCC_90.dat          ,[KPR2005] 90            ,264.7432,-34.8553,ASCC_90,-0.1786652854445201,-0.0519156469001629,2.8,0.5,264.7206809045324,-34.86066714398852
ASCC_97          ,279.2998,-19.1546,0.136,27,-2.245,0.386,-6.497,0.278,1.731,0.08,   6.079,  4.347,  4,564,7,8.228,0.274,0.106,0.202,1.446,0.162,clusters1/ASCC_97.dat          ,[KPR2005] 97            ,279.2998,-19.1546,ASCC_97,-0.2315614060792254,0.2033263009528623,1.0,0.5,279.2749005033486,-19.13394275693805
ASCC_99          ,282.226,-18.4123,0.674,60,5.212,0.315,-1.33,0.408,3.384,0.102, -23.200,  0.614,  5,294,0,8.489,0.181,-0.04,0.084,0.762,0.09,clusters1/ASCC_99.dat          ,[KPR2005] 99            ,282.226,-18.4123,ASCC_99,-0.1541004231146656,-0.5593266830862245,2.6,0.5,282.19432791689593,-18.521301043715884
Alessi_1         ,13.3195,49.5356,0.217,47,6.548,0.153,-6.27,0.267,1.394,0.062,  -3.343,  1.024, 11,681,15,8.993,0.045,-0.109,0.132,0.416,0.15,clusters1/Alessi_1.dat         ,Cl Alessi 1             ,13.3195,49.5356,Alessi_1,0.030656589124085,-0.1549816966138326,2.3,0.5,13.323473335527545,49.522560582186394
Alessi_10        ,301.206,-10.5452,0.27,72,1.458,0.243,-7.846,0.274,2.225,0.086, -12.671,  1.819,  6,445,9,8.547,0.131,0.019,0.076,0.496,0.066,clusters1/Alessi_10.dat        ,Cl Alessi 10            ,301.206,-10.5452,Alessi_10,0.1345885326743277,-0.0072012982210614,1.9,0.5,301.22362663901265,-10.546126712162804
Alessi_12        ,310.9028,23.8969,0.652,303,4.329,0.305,-4.648,0.222,1.825,0.097,  -3.374,  2.662, 25,539,10,8.195,0.127,-0.023,0.079,0.248,0.087,clusters1/Alessi_12.dat        ,Cl Alessi 12            ,310.9028,23.8969,Alessi_12,-0.0046717480989819,-0.600954717768797,5.3,0.5,310.90225709754566,23.833018410660255
Alessi_13        ,51.6126,-35.6459,1.291,43,36.164,0.886,-4.636,0.764,9.538,0.251,  20.448,  1.822,  3,104,1,7.769,0.121,0.231,0.129,0.039,0.026,clusters1/Alessi_13.dat        ,Cl Alessi 13            ,51.6124,-35.6459,Alessi_13,0.3083233039182502,-0.3058620884163332,2.7,0.5,51.82206881286083,-35.814225125447216
Alessi_17        ,113.8534,-15.0917,0.024,26,-1.554,0.161,1.558,0.116,0.262,0.081,        ,       ,   ,3718,201,8.953,0.098,-0.138,0.075,0.81,0.062,clusters1/Alessi_17.dat        ,Cl Alessi 17            ,113.8534,-15.0917,Alessi_17,-0.0066562939849608,-0.5930499938959883,1.5,0.5,113.853293755247,-15.100839123653177
Alessi_18        ,114.2948,-26.3896,0.02,26,-1.221,0.238,1.886,0.352,0.131,0.091,        ,       ,   ,4054,265,8.819,0.728,-0.272,0.09,2.039,0.116,clusters1/Alessi_18.dat        ,Cl Alessi 18            ,114.2948,-26.3896,Alessi_18,-0.0043289980330984,0.215916433790908,1.0,0.5,114.29473170209201,-26.386548421199976
Alessi_19        ,274.817,12.5037,0.729,67,-1.012,0.202,-7.051,0.205,1.713,0.068, -47.055,  1.653,  3,573,5,7.763,0.126,0.129,0.078,0.406,0.066,clusters1/Alessi_19.dat        ,Cl Alessi 19            ,274.817,12.5037,Alessi_19,-0.7661920297328741,-3.198258395444121,6.3,0.5,274.7386209515642,12.183884711509684
Alessi_2         ,71.6266,55.2342,0.521,174,-0.896,0.163,-1.055,0.178,1.582,0.084, -10.466,  1.943, 18,611,9,8.598,0.081,0.057,0.106,0.814,0.112,clusters1/Alessi_2.dat         ,Cl Alessi 2             ,71.6266,55.2342,Alessi_2,0.0858098487190055,-0.5754469749308235,4.9,0.5,71.64069239842864,55.18023734112832
Alessi_20        ,2.5905,58.7414,0.21,110,8.168,0.31,-2.365,0.318,2.315,0.078,  -4.979,  3.454,  9,423,2,6.991,0.116,-0.104,0.143,1.002,0.119,clusters1/Alessi_20.dat        ,Cl Alessi 20            ,2.5904,58.7414,Alessi_20,0.1338677504585286,0.0981469521560765,1.0,0.5,2.6254574107967583,58.75468937591242
Alessi_21        ,107.7113,-9.3962,0.463,135,-5.498,0.262,2.587,0.184,1.718,0.083,  41.454,  2.255, 14,571,1,7.944,0.162,-0.006,0.052,0.37,0.075,clusters1/Alessi_21.dat        ,Cl Alessi 21            ,107.7113,-9.3962,Alessi_21,-0.5508123297100642,0.698943732949548,3.2,0.5,107.65528956050237,-9.326061550941045
Alessi_24        ,260.6536,-62.7844,0.432,159,-0.481,0.264,-8.932,0.239,2.063,0.071,   7.304,  2.799, 16,482,3,8.457,0.105,0.079,0.058,0.245,0.017,clusters1/Alessi_24.dat        ,Cl Alessi 24            ,260.6536,-62.7844,Alessi_24,0.6406115541272008,1.0297768350338714,3.7,0.5,260.81941766515416,-62.66189140269382
Alessi_3         ,109.6999,-46.026,1.491,168,-9.872,0.53,12.014,0.536,3.559,0.158,   2.314,  0.927, 44,278,0,8.902,0.057,-0.057,0.045,0.178,0.059,clusters1/Alessi_3.dat         ,Cl Alessi 3             ,109.7,-46.0261,Alessi_3,-1.7659856273649446,-1.1009605528295765,6.3,0.5,109.17353836275572,-46.25170531092184
Alessi_31        ,267.6653,-11.8817,0.333,169,-1.189,0.284,-4.091,0.223,1.483,0.083,        ,       ,   ,651,11,8.054,0.308,0.359,0.157,2.147,0.175,clusters1/Alessi_31.dat        ,Cl Alessi 31            ,267.6653,-11.8817,Alessi_31,0.4479179355766991,0.6840484426248654,3.4,0.5,267.70557637152484,-11.82149269868946
Alessi_37        ,342.0186,46.3276,0.406,138,0.355,0.158,-1.579,0.154,1.375,0.07, -10.602,  4.370,  5,706,8,8.366,0.147,0.063,0.056,0.676,0.058,clusters1/Alessi_37.dat        ,Cl Alessi 37            ,342.0186,46.3276,Alessi_37,-0.5977836977773503,-0.3430683297533843,4.3,0.5,341.9483807992757,46.299736616526374
Alessi_43        ,132.6413,-41.763,0.266,283,-5.501,0.315,3.847,0.324,1.028,0.09,  22.806,  9.149,  2,937,4,6.763,0.058,-0.051,0.082,0.912,0.054,clusters1/Alessi_43.dat        ,Cl Alessi 43            ,132.6413,-41.763,Alessi_43,-0.1253842796794693,0.3575131929143911,3.7,0.9,132.63102471296497,-41.74113828534922
Alessi_44        ,295.2862,1.4935,1.288,214,0.491,0.368,-2.327,0.178,1.505,0.185,  -9.767,  1.369, 10,668,24,8.056,0.191,0.029,0.078,1.075,0.143,clusters1/Alessi_44.dat        ,Cl Alessi 44            ,295.2862,1.4935,Alessi_44,0.5629179729011788,1.3535534575009365,10.7,0.5,295.334501735157,1.6095967053835791
Alessi_5         ,160.6215,-61.118,0.404,242,-15.363,0.34,2.537,0.35,2.492,0.067,  11.504,  3.074, 23,395,1,7.785,0.136,0.064,0.084,0.404,0.125,clusters1/Alessi_5.dat         ,Cl Alessi 5             ,160.6216,-61.118,Alessi_5,0.7448477905543278,0.332181437493098,2.7,0.5,160.8448451285972,-61.06963182352773
Alessi_53        ,97.3632,9.1794,0.03,38,0.469,0.206,-0.237,0.151,0.151,0.091,        ,       ,   ,4267,728,8.524,0.628,-0.202,0.191,1.984,0.398,clusters1/Alessi_53.dat        ,Cl Alessi 53            ,97.3632,9.1794,Alessi_53,-0.8099734449718312,-0.2332125659183299,1.5,0.6,97.35218296905327,9.176268336646427
Alessi_59        ,103.071,2.1969,0.013,11,-0.604,0.238,0.22,0.373,0.199,0.084,        ,       ,   ,4387,565,8.755,0.61,-0.094,0.16,1.625,0.088,clusters1/Alessi_59.dat        ,Cl Alessi 59            ,103.071,2.1969,Alessi_59,0.6462276134939258,-0.1870215775106287,0.5,0.5,103.07944615658516,2.194457407866892
Alessi_6         ,220.0859,-66.136,0.228,170,-10.483,0.194,-5.55,0.161,1.101,0.058, -14.197,  0.627,  4,865,21,8.785,0.022,0.148,0.131,0.879,0.154,clusters1/Alessi_6.dat         ,Cl Alessi 6             ,220.086,-66.136,Alessi_6,-0.1412357470472756,-0.089779135449028,3.8,0.5,220.06277069830006,-66.1419450541664
Alessi_60        ,105.615,-1.1204,0.047,79,-0.83,0.114,-0.665,0.138,0.338,0.06,        ,       ,   ,2501,138,8.5,0.176,-0.146,0.074,0.972,0.057,clusters1/Alessi_60.dat        ,Cl Alessi 60            ,105.615,-1.1204,Alessi_60,0.1192647989769533,0.0642710491940468,1.6,0.5,105.61773277604685,-1.1189276037382783
Alessi_62        ,284.0243,21.5756,0.267,141,0.259,0.184,-1.095,0.237,1.592,0.061,  13.440,  0.860, 12,617,8,8.997,0.034,0.104,0.074,0.846,0.072,clusters1/Alessi_62.dat        ,Cl Alessi 62            ,284.0243,21.5756,Alessi_62,-0.2258903456269179,0.3890951950673429,2.0,0.5,284.00173726171374,21.611730594621985
Alessi_8         ,232.4931,-51.1959,0.237,55,-5.887,0.203,-5.736,0.18,1.479,0.056, -26.868,  4.344,  3,671,12,8.156,0.096,0.07,0.077,0.384,0.065,clusters1/Alessi_8.dat         ,Cl Alessi 8             ,232.4931,-51.1959,Alessi_8,-1.098697202065881,-0.6863876832767786,2.0,0.5,232.34320088126472,-51.254414086139334
Alessi_9         ,266.0186,-47.2369,1.517,164,9.929,0.795,-9.144,0.737,4.793,0.264,  -6.213,  0.910, 36,207,0,8.593,0.072,-0.002,0.05,0.155,0.056,clusters1/Alessi_9.dat         ,Cl Alessi 9             ,266.0185,-47.2369,Alessi_9,-0.3141657304859855,1.278112721214935,3.1,0.5,265.89137293737315,-46.88305650849877
Alessi_Teutsch_11,304.1429,52.0315,0.22,116,-0.139,0.187,-1.267,0.226,1.514,0.052, -25.929,  1.167, 19,642,7,8.254,0.173,0.072,0.066,0.221,0.082,clusters1/Alessi_Teutsch_11.dat,Name Alessi Teutsch 11  ,304.1429,52.0315,Alessi_Teutsch_11,-0.0368948803350175,0.2827590550314731,2.4,0.5,304.1375449599298,52.056734926974734
Alessi_Teutsch_12,255.4151,-59.0258,0.395,43,-2.169,0.179,-8.946,0.113,1.628,0.056, -11.236,  5.940,  8,605,7,7.935,0.081,-0.056,0.099,0.476,0.104,clusters1/Alessi_Teutsch_12.dat,Name Alessi-Teutsch 12  ,255.4151,-59.0258,Alessi_Teutsch_12,-0.2162430004380748,0.2623483101129658,4.2,0.5,255.37533674015765,-59.00094853291503
Alessi_Teutsch_3 ,118.2369,-53.0525,0.413,93,-5.364,0.207,8.908,0.17,1.423,0.052,  17.865,  4.448,  5,687,7,8.205,0.267,0.011,0.104,0.696,0.053,clusters1/Alessi_Teutsch_3.dat ,Name Alessi Teutsch 3   ,118.2369,-53.0525,Alessi_Teutsch_3,0.1234520096514391,0.1170055118312021,5.0,0.5,118.25402502815919,-53.042740514078716
Alessi_Teutsch_5 ,332.2744,61.0962,0.337,147,-1.943,0.41,-3.205,0.221,1.127,0.064,        ,       ,   ,869,14,7.071,0.054,-0.053,0.096,1.253,0.076,clusters1/Alessi_Teutsch_5.dat ,Name Alessi-Teutsch 5   ,332.2744,61.0962,Alessi_Teutsch_5,-0.6447688792414326,-0.0052319427572218,3.9,0.5,332.18644737045537,61.09582647785331
Alessi_Teutsch_8 ,180.6485,-60.9481,0.251,330,-6.629,0.15,1.636,0.14,0.971,0.049, -15.380,  0.297,  2,974,21,8.279,0.071,0.154,0.077,0.63,0.042,clusters1/Alessi_Teutsch_8.dat ,Name Alessi Teutsch 8   ,180.6486,-60.9481,Alessi_Teutsch_8,-0.1054593131653973,0.0588439940655245,3.2,0.5,180.63572616788696,-60.94463788365058
Antalova_2       ,262.4702,-32.5215,0.082,28,2.118,0.3,-1.621,0.348,0.846,0.079,        ,       ,   ,1079,36,6.921,0.189,0.014,0.085,1.167,0.359,clusters1/Antalova_2.dat       ,Cl Antalova 2           ,262.4702,-32.5215,Antalova_2,-0.2713588184413114,-0.6511414617115698,0.8,0.5,262.45310429498704,-32.55607498875551
Archinal_1       ,283.7168,5.5558,0.045,54,-0.286,0.326,-1.534,0.275,0.548,0.159,        ,       ,   ,1741,35,7.017,0.139,0.118,0.112,4.57,0.079,clusters1/Archinal_1.dat       ,Name Archinal 1         ,283.7168,5.5558,Archinal_1,-0.2452063527372248,-0.2474606063663635,0.9,0.9,283.7086923585116,5.54765609154239
Aveni_Hunter_1   ,354.1893,48.1461,0.513,73,-0.07,0.327,-2.196,0.435,2.33,0.107, -15.908,  2.990,  4,420,3,6.965,0.064,-0.143,0.125,0.503,0.111,clusters1/Aveni_Hunter_1.dat   ,Cl AH 1                 ,354.1893,48.1461,Aveni_Hunter_1,-0.4477693907412803,1.424642704174623,3.0,0.5,354.09740330002853,48.34041153806455
BDSB91           ,96.3285,-10.5458,0.033,26,-3.101,0.301,1.164,0.357,1.018,0.075,        ,       ,   ,912,27,6.736,0.034,0.007,0.072,1.471,0.226,clusters1/BDSB91.dat           ,[BDS2003] 91            ,96.3285,-10.5458,BDSB91,-0.163212060345834,-0.0945988301705189,0.4,0.5,96.31806994028136,-10.551742936343867
BDSB93           ,104.2954,-8.2148,0.029,27,-2.389,0.246,1.021,0.356,0.751,0.174,        ,       ,   ,1022,177,7.081,0.445,-0.109,0.115,2.226,0.45,clusters1/BDSB93.dat           ,[BDS2003] 93            ,104.2954,-8.2148,BDSB93,0.0538078372746926,0.3298629673235711,0.6,0.5,104.29844772810836,-8.196307076429166
BDSB96           ,106.3489,-12.3221,0.1,45,-3.715,0.386,1.05,0.231,0.863,0.113,  27.502, 15.058,  2,1155,84,6.871,0.107,-0.144,0.16,1.483,0.471,clusters1/BDSB96.dat           ,[BDS2003] 96            ,106.3489,-12.3221,BDSB96,-0.3953269177826026,-0.1365475742294082,0.6,0.5,106.32882618131774,-12.32887294628069
BH_111           ,167.3136,-63.8306,0.022,29,-8.164,0.146,2.935,0.126,0.332,0.055,        ,       ,   ,2484,95,8.513,0.378,0.071,0.082,1.436,0.121,clusters1/BH_111.dat           ,Cl VDBH 111             ,167.3137,-63.8306,BH_111,0.2338542735257784,-0.1680617390025951,0.6,0.5,167.32583239151435,-63.83447598416482
