Cluster,RA_ICRS,DE_ICRS,r50,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,NRV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,FileName,SimbadName,_RA.icrs,_DE.icrs,name,new_x,new_y,bandwidth,memb,new_ra,new_dec
NGC_5606         ,216.9523,-59.6329,0.028,44,-4.881,0.099,-2.897,0.1,0.381,0.046,        ,       ,   ,2344,134,7.004,0.114,0.143,0.098,1.696,0.037,clusters1/NGC_5606.dat         ,NGC 5606                ,216.9523,-59.6329,NGC_5606,-0.1030007620935324,0.0398024420556515,0.8,0.5,216.94731989252918,-59.63192699094112
NGC_5617         ,217.4495,-60.7197,0.092,617,-5.641,0.108,-3.171,0.147,0.401,0.054, -35.135,  0.239,  3,1983,42,8.046,0.157,0.064,0.071,1.743,0.037,clusters1/NGC_5617.dat         ,NGC 5617                ,217.4495,-60.7197,NGC_5617,-0.1841584112968117,0.0330868390598606,2.3,0.5,217.4386208151075,-60.718743565306774
NGC_5662         ,218.7514,-56.647,0.283,252,-6.439,0.169,-7.246,0.207,1.294,0.054, -20.351,  0.698,  8,738,7,8.023,0.185,-0.005,0.066,1.065,0.072,clusters1/NGC_5662.dat         ,NGC 5662                ,218.7515,-56.647,NGC_5662,0.0743417233528429,-0.233896753885948,2.6,0.5,218.7619028393935,-56.66515849724038
NGC_5715         ,220.8626,-57.5752,0.055,169,-3.49,0.134,-2.301,0.138,0.437,0.048, -26.100,  0.677,  7,1729,49,8.817,0.069,0.287,0.071,1.752,0.088,clusters1/NGC_5715.dat         ,NGC 5715                ,220.8626,-57.5752,NGC_5715,0.016535425032135,0.0048872508610466,1.1,0.5,220.8636219286459,-57.575038041654416
NGC_5749         ,222.1729,-54.5122,0.121,77,-2.759,0.166,-3.08,0.149,0.893,0.047,        ,       ,   ,1059,39,8.011,0.15,0.063,0.079,1.182,0.054,clusters1/NGC_5749.dat         ,NGC 5749                ,222.1729,-54.5122,NGC_5749,0.4803501730919199,-0.048500836581689,1.9,0.5,222.21767010531065,-54.51481580547642
NGC_5764         ,223.3849,-52.6677,0.031,50,-3.312,0.125,-2.323,0.129,0.466,0.039, -32.419,  1.043,  2,1919,123,9.086,0.163,-0.095,0.151,2.25,0.231,clusters1/NGC_5764.dat         ,NGC 5764                ,223.3849,-52.6677,NGC_5764,0.0268943407764523,0.0261522145003088,0.7,0.5,223.38622408325364,-52.66691916327603
NGC_581          ,23.3309,60.6602,0.053,149,-1.383,0.07,-0.493,0.087,0.374,0.041,        ,       ,   ,2292,89,7.469,0.11,-0.02,0.098,1.45,0.035,clusters1/NGC_581.dat          ,NGC 581                 ,23.3309,60.6602,NGC_581,0.4726521747955958,-0.3130872166154965,1.1,0.5,23.355007856418503,60.65237122918722
NGC_5822         ,226.0852,-54.3655,0.321,655,-7.417,0.247,-5.534,0.209,1.188,0.054, -27.686,  1.021, 53,796,27,9.039,0.06,-0.015,0.106,0.481,0.06,clusters1/NGC_5822.dat         ,NGC 5822                ,226.0853,-54.3655,NGC_5822,-0.3281015857742186,-0.1608941446809968,3.8,0.5,226.04465282777363,-54.37707430810796
NGC_5823         ,226.3724,-55.6109,0.11,496,-3.689,0.154,-2.441,0.152,0.522,0.054, -56.627,  0.254,  3,1434,40,8.851,0.029,0.355,0.039,1.011,0.027,clusters1/NGC_5823.dat         ,NGC 5823                ,226.3724,-55.6109,NGC_5823,-0.0697601072889639,0.0581277799752335,2.5,0.5,226.36746539373667,-55.60857739295506
NGC_5925         ,231.8346,-54.507,0.164,438,-4.32,0.178,-5.145,0.177,0.679,0.054, -37.370,  0.523, 11,1242,40,8.694,0.059,0.137,0.091,1.611,0.052,clusters1/NGC_5925.dat         ,NGC 5925                ,231.8346,-54.507,NGC_5925,0.1218485566233269,-0.226440110094563,2.9,0.5,231.8442839567075,-54.51744571846413
NGC_5999         ,238.0466,-56.482,0.039,219,-3.389,0.092,-4.21,0.099,0.329,0.04, -30.883,  0.355,  4,2191,65,8.293,0.308,0.079,0.111,1.868,0.059,clusters1/NGC_5999.dat         ,NGC 5999                ,238.0466,-56.482,NGC_5999,0.0201742548724448,0.0770571449295993,1.0,0.5,238.04755534258356,-56.47998491226795
NGC_6005         ,238.9586,-57.4422,0.051,320,-4.019,0.132,-3.801,0.143,0.365,0.065, -24.365,  1.423, 12,2238,97,9.043,0.05,-0.101,0.103,1.912,0.078,clusters1/NGC_6005.dat         ,NGC 6005                ,238.9586,-57.4422,NGC_6005,-0.2158656100331795,0.0872051732998491,1.3,0.5,238.94833128643444,-57.439967014057736
NGC_6025         ,240.7514,-60.4348,0.243,320,-2.91,0.202,-3.026,0.199,1.27,0.061,  15.101,  4.096,  6,756,13,8.237,0.101,0.147,0.054,0.608,0.05,clusters1/NGC_6025.dat         ,NGC 6025                ,240.7514,-60.4348,NGC_6025,0.1439996900091724,-0.0969838413895392,2.9,0.5,240.77352327579936,-60.44214838536471
NGC_6031         ,241.8972,-54.0158,0.034,73,-2.131,0.126,-3.007,0.119,0.545,0.061,        ,       ,   ,1658,92,7.856,0.209,0.108,0.129,1.568,0.043,clusters1/NGC_6031.dat         ,NGC 6031                ,241.8972,-54.0158,NGC_6031,0.0874488075688908,0.0460770720793148,0.6,0.5,241.9023430598351,-54.01420759726855
NGC_6067         ,243.2957,-54.2258,0.099,888,-1.908,0.126,-2.588,0.127,0.448,0.065, -38.814,  0.241, 16,1792,23,8.105,0.163,0.089,0.042,1.198,0.037,clusters1/NGC_6067.dat         ,NGC 6067                ,243.2957,-54.2258,NGC_6067,0.1312771094414895,-0.0488978637448589,2.5,0.5,243.3028802061822,-54.22736320247934
NGC_6087         ,244.7497,-57.9137,0.207,243,-1.557,0.149,-2.402,0.151,1.019,0.063,   3.243,  5.763,  5,929,35,8.003,0.066,0.112,0.093,0.692,0.042,clusters1/NGC_6087.dat         ,NGC 6087                ,244.7497,-57.9137,NGC_6087,-0.1228663554863693,0.0062802471839589,2.7,0.5,244.7354347166178,-57.91331186850971
NGC_609          ,24.0946,64.5391,0.022,222,-0.66,0.132,-0.067,0.129,0.136,0.081, -44.896,  1.119,  6,4341,398,8.535,0.12,-0.077,0.103,3.128,0.05,clusters1/NGC_609.dat          ,NGC 609                 ,24.0946,64.5391,NGC_609,0.3829938923461675,-0.0340110513949172,1.1,0.5,24.106358585969026,64.53865062825521
NGC_6124         ,246.3593,-40.6838,0.39,1230,-0.2,0.398,-2.059,0.379,1.556,0.081, -20.531,  1.199, 49,617,9,8.004,0.242,0.154,0.109,2.326,0.065,clusters1/NGC_6124.dat         ,NGC 6124                ,246.3593,-40.6838,NGC_6124,-0.1816284934646823,0.3534821566318307,3.5,0.5,246.33706915724096,-40.650972847828314
NGC_6134         ,246.9574,-49.1648,0.14,803,2.189,0.235,-4.461,0.221,0.847,0.066, -25.089,  0.680, 48,1055,51,9.106,0.046,0.063,0.058,1.275,0.075,clusters1/NGC_6134.dat         ,NGC 6134                ,246.9574,-49.1648,NGC_6134,-0.0342172165038778,-0.062801606177679,2.3,0.5,246.95455787595685,-49.16821064473323
NGC_6152         ,248.2161,-52.6241,0.131,196,-2.519,0.106,-4.972,0.084,0.594,0.047, -35.513,  0.338,  6,1422,40,8.386,0.091,0.131,0.098,1.128,0.038,clusters1/NGC_6152.dat         ,NGC 6152                ,248.2161,-52.6241,NGC_6152,-0.1206428463956683,-0.2114921935086684,2.9,0.5,248.2080907712062,-52.63262125612189
NGC_6178         ,248.9331,-45.6457,0.067,41,0.436,0.37,-3.316,0.14,1.091,0.102,        ,       ,   ,844,15,7.098,0.201,0.068,0.157,0.838,0.047,clusters1/NGC_6178.dat         ,NGC 6178                ,248.9331,-45.6457,NGC_6178,0.032500161415514,0.1050719587347539,0.7,0.5,248.93625555174756,-45.63856704210719
NGC_6192         ,250.073,-43.3577,0.078,514,1.663,0.213,-0.17,0.166,0.572,0.065,  -7.786,  0.601,  5,1574,134,7.931,0.201,0.225,0.172,2.121,0.072,clusters1/NGC_6192.dat         ,NGC 6192                ,250.073,-43.3577,NGC_6192,0.0916836858237069,0.1061913671618963,1.6,0.5,250.07758985610695,-43.35383439541351
NGC_6193         ,250.2967,-48.7927,0.162,304,1.293,0.373,-4.066,0.279,0.803,0.094, -64.534,  1.302,  3,1080,58,6.703,0.042,0.139,0.13,1.584,0.052,clusters1/NGC_6193.dat         ,NGC 6193                ,250.2967,-48.7927,NGC_6193,0.2539019479312863,0.1144285924649564,2.4,0.5,250.3171441212445,-48.78662756665117
