name,RA_ICRS,DE_ICRS,Dist,e_Dist,logage,e_logage,Av,e_Av,r_memb,m_binsize,m_memb,M_class,P_class,R_class,rc,rt,c,n0,unc_rc_max,unc_rt_max,unc_c_max,unc_n0_max,unc_rc_min,unc_rt_min,unc_c_min,unc_n0_min,steps_emcee,M_bp,M_rp,M(rt)_dv,M_bp_dv,M_rp_dv,M(rt_min),M(rt),M(rt_max),unc_M(rt_min),unc_M(rt),unc_M(rt_max)
NGC_6250,254.5055,-45.9478,954,39,7.282999999999999,0.049,1.3430000000000002,0.038,0.5,1.0,0.5,M2,P1,R2,0.4299,29.08326,0.09094,30.19721,0.0238,42.162,0.0974,1.1256,-0.0174,-18.3994,-0.0514,-0.7812,100000,323.519,339.3780000000001,330.634,318.932,327.406,335.413,335.413,335.413,14.339,12.859000000000002,14.873
NGC_6259,255.1968,-44.6745,1806,48,8.517000000000001,0.042,2.111,0.05,0.5,0.5,0.5,M2,P2,R1,2.24423,31.0841,0.11902,25.11122,0.1219,21.2695,0.1477,1.8773,-0.1084,-9.7061,-0.0734,-1.4334,100000,4724.236,4990.337,5334.303000000001,5141.141,5457.559,5055.916,5055.916,5055.916,52.45,51.548,53.46
NGC_6268,255.5261,-39.7128,1305,45,8.41,0.08800000000000001,1.54,0.07400000000000001,0.5,0.5,0.5,M2,P1,R1,1.37921,5.98235,0.26976999999999995,21.70993,0.1849,3.2383,0.2948,6.4614,-0.1571,-1.5535,-0.1828,-4.0065,200000,499.823,512.061,513.947,560.745,570.757,443.142,447.006,447.006,14.401,15.932,17.381
NGC_6281,256.1814,-37.9519,523,7,8.516,0.086,0.634,0.06,0.5,0.5,0.5,M1,P1,R1,0.95647,15.85821,0.22139,56.79999,0.057999999999999996,20.4781,0.2581,4.5414,-0.0516,-5.8402,-0.147,-3.502,100000,909.914,1008.283,977.709,939.665,994.369,976.754,988.104,988.104,15.967,15.955,14.936
NGC_6322,259.6297,-42.9398,1315,63,7.034,0.236,2.069,0.07400000000000001,0.5,1.0,0.5,M1,P1,R2,0.71207,19.05314,0.11648,15.54334,0.0626,45.1482,0.1664,1.8268,-0.0468,-11.4319,-0.0723,-0.8683,100000,390.093,394.261,400.48800000000006,393.968,389.468,405.097,405.097,405.097,18.094,18.347,20.584
NGC_637,25.7705,64.0368,2519,143,7.144,0.08900000000000001,1.919,0.039,0.5,1.0,0.5,M1,P1,R2,1.56623,1.93776,0.5195,130.74581,0.1916,0.3654,0.2927,49.9412,-0.3507,-0.14300000000000002,-0.2722,-66.5876,500000,412.461,388.681,402.895,438.121,423.125,371.461,393.601,438.701,24.71,26.844,29.3
NGC_6400,265.0646,-36.9499,1130,51,8.398,0.322,1.464,0.094,0.5,0.5,0.5,M1,P1,R1,1.39612,4.63351,0.36263,39.66428,0.4321,2.9577,0.2645,35.5512,-0.2255,-1.4064,-0.2238,-10.9437,200000,544.266,586.776,578.048,583.7180000000002,612.227,423.175,543.622,604.811,12.544,12.952,14.844000000000001
NGC_6405,265.1037,-32.2404,453,3,7.894,0.049,0.619,0.043,0.7,0.5,0.7,M1,P1,R1,1.6226,6.20342,0.53438,75.45167,0.2427,2.3141,0.4604,24.3715,-0.1768,-1.3644,-0.3473,-13.6021,100000,906.064,983.646,911.362,888.579,949.372,862.6469999999998,934.535,983.646,18.785,18.345,17.9
NGC_6444,267.4166,-34.8124,1492,88,8.632,0.262,1.298,0.13,0.5,0.5,0.5,M2,P2,R2,4.90048,6.33772,0.10152,17.440360000000002,0.7504,1.0326,0.08900000000000001,7.7282,-1.0163,-0.5966,-0.0573,-8.0506,100000,372.692,392.437,394.353,428.054,462.424,324.563,337.521,346.159,11.328,12.342,12.969000000000001
NGC_6469,268.2777,-22.2951,1602,123,7.943,0.405,2.055,0.133,0.5,1.0,0.5,M2,P2,R2,0.92544,5.52745,0.13979,11.7673,0.23,15.8991,0.1122,6.3452,-0.1426,-2.3418,-0.0861,-2.5579,200000,286.837,404.277,276.161,298.214,391.03,180.786,259.079,264.061,8.83,11.17,7.66
NGC_6475,268.3971,-34.8797,277,0,8.436,0.081,0.377,0.043,0.5,0.5,0.5,M1,P1,R2,2.01711,40.328,0.0686,26.028000000000002,0.1252,29.1124,0.0694,1.6034,-0.1013,-14.5328,-0.0358,-1.1074,100000,988.052,988.696,1153.876,1167.191,1164.554,988.052,992.56,992.56,21.153000000000002,20.222,18.619
NGC_6520,270.8554,-27.8802,1699,87,7.352,0.324,1.541,0.077,0.5,1.0,0.5,M2,P1,R2,1.66759,2.03527,0.56539,175.57046,0.1862,0.2287,0.6959,51.4339,-0.2892,-0.1364,-0.3874,-70.0793,100000,494.925,500.381,365.631,486.952,501.55300000000005,309.425,314.1020000000001,318.778,11.777000000000001,12.777999999999999,11.747
