Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc
ASCC_10,51.87,34.981,155.723,-17.77,0.558,65,-1.737,0.159,-1.368,0.143,1.459,0.1,8.42,0.63,9.1,660.0,-573.0,258.0,-201.0,8917.0
ASCC_101,288.399,36.369,68.028,11.608,0.372,69,0.934,0.205,1.288,0.258,2.488,0.057,8.69,0.19,8.08,412.0,151.0,374.0,83.0,8197.0
ASCC_105,295.548,27.366,62.825,2.063,0.648,113,1.464,0.162,-1.635,0.145,1.783,0.065,7.87,0.41,8.77,567.0,259.0,504.0,20.0,8096.0
ASCC_107,297.164,21.987,58.904,-1.901,0.174,57,-0.155,0.101,-5.156,0.115,1.109,0.049,7.23,1.69,9.7,870.0,449.0,744.0,-28.0,7925.0
ASCC_108,298.306,39.349,74.378,6.074,0.537,188,-0.519,0.099,-1.69,0.129,0.838,0.048,8.03,0.34,10.32,1160.0,310.0,1110.0,122.0,8105.0
ASCC_11,53.056,44.856,150.546,-9.224,0.312,245,0.926,0.163,-3.03,0.147,1.141,0.061,8.39,0.6,9.69,867.0,-745.0,421.0,-139.0,9095.0
ASCC_110,300.742,33.528,70.411,1.378,0.203,65,0.271,0.064,-3.132,0.05,0.497,0.036,8.9,0.75,11.47,1971.0,660.0,1856.0,47.0,7900.0
ASCC_111,302.891,37.515,74.714,2.056,0.537,136,-1.15,0.151,-1.524,0.154,1.166,0.059,8.44,0.39,9.65,851.0,224.0,820.0,30.0,8157.0
ASCC_113,317.933,38.638,82.877,-6.589,0.529,175,0.8,0.125,-3.679,0.163,1.762,0.041,8.46,0.13,8.75,563.0,69.0,555.0,-64.0,8289.0
ASCC_114,324.99,53.997,97.082,1.028,0.216,134,-3.716,0.11,-3.421,0.115,1.066,0.037,7.68,0.92,9.79,908.0,-111.0,901.0,16.0,8499.0
ASCC_115,329.28,51.558,97.528,-2.504,0.25,32,-0.549,0.068,-0.543,0.088,1.311,0.034,8.12,0.72,9.32,731.0,-95.0,724.0,-31.0,8466.0
ASCC_12,72.4,41.744,162.986,-1.893,0.303,139,-0.634,0.181,-2.794,0.122,0.941,0.069,7.97,0.7,10.1,1048.0,-1002.0,306.0,-34.0,9347.0
ASCC_123,340.299,53.986,104.434,-4.141,1.294,49,12.093,0.473,-1.407,0.437,4.262,0.172,7.65,0.0,6.81,229.0,-57.0,222.0,-16.0,8400.0
ASCC_127,347.205,64.974,112.349,4.232,0.627,117,7.474,0.26,-1.745,0.263,2.633,0.081,7.26,0.43,7.88,376.0,-142.0,347.0,27.0,8490.0
ASCC_128,349.949,54.435,109.77,-6.078,0.513,68,1.236,0.139,0.186,0.114,1.509,0.058,8.4,0.41,9.13,669.0,-225.0,626.0,-70.0,8587.0
ASCC_13,78.255,44.417,163.502,3.122,0.609,85,-0.473,0.097,-1.743,0.111,0.898,0.067,7.5,0.7,10.24,1115.0,-1067.0,316.0,60.0,9412.0
ASCC_16,81.198,1.655,201.139,-18.373,0.376,175,1.355,0.265,-0.015,0.248,2.838,0.104,7.13,0.2,7.69,344.0,-305.0,-118.0,-108.0,8646.0
ASCC_19,81.982,-1.987,204.914,-19.438,0.605,149,1.152,0.252,-1.234,0.219,2.768,0.089,7.02,0.13,7.7,346.0,-296.0,-137.0,-115.0,8637.0
ASCC_21,82.179,3.527,199.938,-16.598,0.41,90,1.404,0.263,-0.632,0.238,2.866,0.131,6.95,0.1,7.66,341.0,-307.0,-111.0,-97.0,8647.0
ASCC_23,95.047,46.71,167.472,14.416,0.319,120,1.098,0.179,-0.598,0.182,1.594,0.061,8.37,0.34,9.0,630.0,-595.0,132.0,156.0,8936.0
ASCC_29,103.571,-1.67,214.743,-0.128,0.137,46,-1.008,0.13,-1.019,0.115,0.944,0.063,7.97,0.19,10.12,1057.0,-869.0,-602.0,-2.0,9229.0
ASCC_30,104.271,-6.23,219.119,-1.587,0.27,46,-1.595,0.116,-0.171,0.072,0.897,0.045,8.24,0.35,10.14,1067.0,-827.0,-673.0,-29.0,9192.0
ASCC_32,105.714,-26.512,237.976,-9.433,0.656,186,-3.307,0.181,3.477,0.127,1.23,0.062,7.4,0.26,9.53,805.0,-421.0,-673.0,-132.0,8787.0
ASCC_41,116.674,0.137,219.206,12.333,0.679,123,0.646,0.241,-3.99,0.221,3.352,0.117,8.33,0.0,7.39,300.0,-227.0,-185.0,64.0,8569.0
ASCC_58,153.657,-55.001,281.671,1.263,0.592,133,-13.276,0.21,2.786,0.271,2.06,0.055,7.72,0.25,8.46,491.0,99.0,-480.0,10.0,8254.0
ASCC_6,26.846,57.722,130.369,-4.34,0.188,111,-0.838,0.11,0.211,0.099,0.621,0.041,7.54,0.72,11.01,1590.0,-1027.0,1208.0,-120.0,9444.0
ASCC_66,168.367,-55.437,289.28,4.816,0.097,22,-11.331,0.104,2.969,0.09,0.999,0.045,7.77,0.07,9.94,971.0,319.0,-913.0,81.0,8072.0
ASCC_67,175.28,-61.013,294.515,0.704,0.183,26,-6.766,0.066,0.919,0.063,0.482,0.025,7.57,0.58,11.5,1999.0,829.0,-1818.0,24.0,7727.0
ASCC_71,185.033,-67.509,299.936,-4.82,0.255,76,-9.272,0.123,-1.351,0.154,0.786,0.045,8.11,0.53,10.52,1269.0,631.0,-1096.0,-106.0,7786.0
ASCC_73,189.281,-67.203,301.542,-4.37,0.988,57,-11.539,0.314,-2.945,0.462,1.518,0.124,8.53,0.23,9.08,655.0,341.0,-556.0,-49.0,8017.0
ASCC_77,212.694,-62.331,311.999,-0.864,0.179,141,-4.243,0.11,-3.22,0.13,0.842,0.045,7.91,0.64,10.28,1136.0,760.0,-844.0,-17.0,7626.0
ASCC_79,229.731,-60.798,319.977,-2.905,0.98,113,-2.914,0.375,-4.232,0.472,1.176,0.067,7.27,0.41,9.58,825.0,631.0,-529.0,-41.0,7727.0
ASCC_85,251.853,-45.555,339.815,-0.259,0.357,105,0.17,0.124,-4.102,0.138,1.119,0.058,7.85,0.56,9.59,829.0,778.0,-286.0,-3.0,7567.0
ASCC_87,255.658,-28.421,355.125,8.093,0.347,45,-1.18,0.146,-3.814,0.116,1.27,0.065,7.92,0.57,9.45,774.0,764.0,-65.0,109.0,7575.0
ASCC_88,256.886,-35.564,350.01,2.973,0.372,121,0.919,0.164,-3.282,0.142,1.097,0.06,8.39,1.45,9.85,931.0,916.0,-161.0,48.0,7425.0
ASCC_9,41.671,57.743,137.844,-1.753,0.215,48,0.166,0.083,-1.099,0.061,0.406,0.028,7.47,2.23,11.88,2376.0,-1760.0,1594.0,-72.0,10225.0
ASCC_90,264.777,-34.874,354.224,-1.954,0.388,58,-1.63,0.162,-2.681,0.206,1.713,0.054,8.91,0.32,8.73,557.0,554.0,-56.0,-19.0,7785.0
ASCC_97,279.263,-19.139,14.25,-5.553,0.14,20,-2.331,0.327,-6.508,0.385,1.74,0.086,8.05,1.17,8.89,598.0,577.0,146.0,-57.0,7763.0
ASCC_99,282.17,-18.488,16.07,-7.727,0.643,63,5.188,0.349,-1.311,0.455,3.367,0.106,8.55,0.47,7.28,285.0,271.0,78.0,-38.0,8068.0
Alessi_1,13.343,49.536,123.255,-13.335,0.249,45,6.536,0.105,-6.245,0.204,1.39,0.057,9.16,0.08,9.19,689.0,-367.0,561.0,-159.0,8726.0
Alessi_10,301.233,-10.555,31.597,-21.058,0.266,70,1.469,0.208,-7.879,0.241,2.233,0.075,7.96,0.33,8.36,469.0,373.0,229.0,-168.0,7969.0
Alessi_12,310.875,23.871,67.488,-11.405,0.682,307,4.303,0.233,-4.639,0.18,1.816,0.088,8.13,0.1,8.68,544.0,204.0,493.0,-107.0,8150.0
Alessi_13,51.762,-35.821,237.532,-55.941,1.361,48,36.332,0.931,-4.709,0.851,9.584,0.253,7.55,0.1,5.11,105.0,-31.0,-49.0,-87.0,8371.0
Alessi_15,100.767,1.672,210.49,-1.099,0.008,17,-0.182,0.202,0.469,0.234,0.093,0.082,7.53,2.18,14.01,6338.0,-5461.0,-3215.0,-121.0,14170.0
Alessi_17,113.853,-15.098,231.359,2.585,0.022,15,-1.526,0.088,1.557,0.104,0.264,0.058,,,,,,,,
Alessi_18,114.295,-26.386,241.421,-2.555,0.019,24,-1.261,0.142,1.79,0.3,0.126,0.08,6.71,2.48,14.29,7199.0,-3440.0,-6315.0,-320.0,13366.0
Alessi_19,274.741,12.311,40.403,12.71,0.595,60,-1.005,0.223,-7.073,0.185,1.71,0.06,7.41,0.31,8.79,573.0,425.0,362.0,126.0,7922.0
Alessi_2,71.602,55.199,152.333,6.365,0.554,159,-0.904,0.141,-1.046,0.115,1.589,0.07,8.55,0.52,9.09,657.0,-578.0,303.0,72.0,8923.0
Alessi_20,2.593,58.742,117.615,-3.705,0.235,119,8.195,0.293,-2.341,0.28,2.311,0.068,6.97,0.6,8.08,412.0,-190.0,364.0,-26.0,8538.0
Alessi_21,107.69,-9.363,223.457,-0.014,0.467,113,-5.475,0.194,2.602,0.162,1.72,0.07,7.82,0.29,8.85,587.0,-426.0,-404.0,0.0,8776.0
Alessi_24,260.764,-62.693,328.984,-14.572,0.466,156,-0.488,0.22,-8.999,0.186,2.059,0.067,7.86,0.34,8.5,502.0,416.0,-250.0,-126.0,7927.0
Alessi_3,109.275,-46.142,257.449,-15.064,1.541,164,-9.875,0.447,11.958,0.515,3.566,0.134,8.8,0.14,7.37,297.0,-62.0,-280.0,-77.0,8407.0
Alessi_31,267.698,-11.853,15.339,7.709,0.331,165,-1.164,0.225,-4.122,0.206,1.477,0.072,8.38,1.75,9.26,712.0,680.0,186.0,95.0,7661.0
Alessi_37,341.961,46.342,101.732,-11.38,0.423,133,0.351,0.135,-1.569,0.129,1.384,0.066,8.14,0.47,9.21,695.0,-138.0,667.0,-137.0,8504.0
Alessi_43,132.631,-41.738,262.546,1.501,0.29,284,-5.546,0.318,3.869,0.342,1.032,0.082,7.06,0.99,9.81,917.0,-119.0,-909.0,24.0,8507.0
Alessi_44,295.325,1.592,40.121,-10.332,1.296,175,0.463,0.404,-2.325,0.182,1.496,0.22,8.35,0.71,9.16,679.0,511.0,430.0,-121.0,7840.0
Alessi_5,160.819,-61.081,288.058,-1.966,0.542,297,-15.411,0.324,2.503,0.348,2.501,0.065,7.83,0.62,8.14,424.0,131.0,-402.0,-14.0,8218.0
Alessi_53,97.352,9.18,202.259,-0.664,0.022,27,0.431,0.165,-0.201,0.166,0.198,0.084,7.88,1.93,13.79,5736.0,-5308.0,-2172.0,-66.0,13820.0
Alessi_59,103.078,2.196,211.077,1.195,0.006,10,-0.54,0.165,0.283,0.31,0.227,0.075,,,,,,,,
Alessi_6,220.058,-66.127,313.643,-5.544,0.294,164,-10.472,0.15,-5.559,0.163,1.1,0.057,8.63,0.7,9.74,886.0,608.0,-638.0,-85.0,7757.0
Alessi_60,105.619,-1.12,215.188,1.944,0.048,67,-0.83,0.09,-0.653,0.091,0.336,0.058,8.35,0.83,12.35,2953.0,-2412.0,-1700.0,100.0,10885.0
Alessi_62,284.026,21.597,52.816,8.685,0.256,142,0.245,0.157,-1.074,0.178,1.591,0.064,8.84,0.78,9.07,650.0,388.0,512.0,98.0,7967.0
Alessi_8,232.408,-51.227,326.501,4.259,0.224,50,-5.899,0.22,-5.729,0.173,1.479,0.046,8.07,0.19,9.12,668.0,555.0,-367.0,49.0,7792.0
Alessi_9,265.974,-47.028,344.269,-9.058,1.73,183,9.916,0.711,-9.157,0.624,4.822,0.259,8.45,0.0,6.66,215.0,204.0,-57.0,-33.0,8135.0
Alessi_Teutsch_11,304.127,52.051,87.435,9.268,0.257,110,-0.139,0.163,-1.295,0.151,1.52,0.051,8.16,0.37,9.01,634.0,28.0,625.0,102.0,8335.0
Alessi_Teutsch_12,255.421,-58.981,330.635,-10.337,0.489,41,-2.134,0.168,-8.952,0.124,1.632,0.057,7.94,0.35,9.03,641.0,549.0,-309.0,-115.0,7796.0
Alessi_Teutsch_3,118.228,-53.022,266.426,-12.849,0.491,87,-5.378,0.161,8.926,0.18,1.417,0.046,8.02,0.47,9.2,693.0,-42.0,-674.0,-154.0,8409.0
Alessi_Teutsch_5,332.218,61.103,104.536,4.179,0.427,127,-1.895,0.489,-3.207,0.232,1.111,0.062,7.27,1.02,9.79,907.0,-227.0,876.0,66.0,8611.0
Alessi_Teutsch_8,180.649,-60.935,297.033,1.376,0.298,319,-6.625,0.136,1.63,0.136,0.967,0.049,8.07,0.49,9.98,989.0,449.0,-881.0,23.0,7939.0
Andrews_Lindsay_5,281.079,-4.931,27.733,-0.667,0.023,58,-0.901,0.142,-3.562,0.177,0.137,0.113,,,,,,,,
Antalova_2,262.462,-32.541,355.141,0.929,0.097,27,2.037,0.307,-1.65,0.307,0.842,0.068,7.08,1.15,10.12,1056.0,1052.0,-89.0,17.0,7287.0
Archinal_1,283.709,5.55,38.259,1.775,0.04,65,-0.225,0.259,-1.578,0.254,0.526,0.145,,,,,,,,
Arp_Madore_2,114.683,-33.845,248.123,-5.884,0.026,29,-0.513,0.156,1.225,0.123,0.039,0.06,9.48,1.49,15.35,11751.0,-4355.0,-10848.0,-1204.0,16699.0
Auner_1,106.06,-19.748,231.992,-6.16,0.026,41,-0.28,0.13,1.015,0.128,0.093,0.096,9.49,0.99,14.77,8984.0,-5500.0,-7038.0,-964.0,15527.0
Aveni_Hunter_1,354.175,48.205,110.284,-12.823,0.496,82,-0.184,0.324,-2.087,0.451,2.348,0.107,7.02,0.75,8.03,402.0,-136.0,368.0,-89.0,8484.0
BDSB30,333.667,61.433,105.298,4.05,0.024,33,-1.579,0.201,-3.005,0.247,1.109,0.078,,,,,,,,
BDSB91,96.319,-10.551,219.468,-10.554,0.036,32,-3.183,0.196,1.15,0.282,1.033,0.067,7.15,1.8,9.91,961.0,-729.0,-600.0,-176.0,9089.0
BDSB93,104.297,-8.202,220.888,-2.462,0.036,32,-2.41,0.239,1.021,0.27,0.77,0.128,7.2,1.77,10.39,1196.0,-903.0,-782.0,-51.0,9276.0
BDSB96,106.332,-12.327,225.477,-2.561,0.045,65,-3.843,0.322,1.071,0.274,0.844,0.105,6.9,1.22,10.29,1144.0,-801.0,-815.0,-51.0,9178.0
BH_111,167.32,-63.834,291.956,-3.161,0.029,27,-8.176,0.095,2.941,0.07,0.339,0.053,8.29,1.28,12.27,2850.0,1064.0,-2639.0,-157.0,7739.0
BH_118,170.765,-58.549,291.604,2.366,0.023,61,-4.406,0.116,1.45,0.124,0.065,0.061,9.28,1.07,14.72,8807.0,3240.0,-8181.0,363.0,9641.0
BH_121,174.661,-63.387,294.886,-1.658,0.154,174,-6.0,0.125,0.63,0.123,0.387,0.042,6.42,1.11,11.91,2413.0,1015.0,-2188.0,-69.0,7644.0
BH_132,186.72,-64.058,300.25,-1.315,0.046,52,-6.22,0.093,-0.177,0.072,0.362,0.039,8.2,1.24,12.03,2541.0,1279.0,-2194.0,-58.0,7393.0
BH_144,198.808,-65.92,305.359,-3.161,0.024,73,-5.111,0.362,-0.375,0.204,0.045,0.088,9.17,1.68,14.92,9649.0,5575.0,-7857.0,-532.0,8329.0
BH_150,204.506,-63.346,308.128,-0.946,0.025,43,-6.395,0.112,-1.534,0.077,0.178,0.059,7.34,3.76,13.73,5580.0,3445.0,-4389.0,-92.0,6574.0
BH_151,205.051,-61.731,308.672,0.596,0.008,29,-5.853,0.099,-1.878,0.17,0.176,0.078,7.2,4.06,13.49,4989.0,3117.0,-3895.0,51.0,6515.0
BH_164,222.311,-66.465,314.323,-6.235,0.639,204,-7.368,0.335,-10.714,0.281,2.364,0.078,7.51,0.17,8.21,438.0,304.0,-311.0,-47.0,8041.0
BH_19,121.768,-32.355,249.881,-0.022,0.025,45,-2.897,0.101,3.547,0.141,0.19,0.059,8.49,1.96,13.3,4563.0,-1569.0,-4285.0,-1.0,10796.0
BH_200,252.484,-44.182,341.153,0.283,0.054,94,-0.025,0.128,-1.132,0.112,0.406,0.071,8.21,2.02,11.82,2314.0,2190.0,-747.0,11.0,6194.0
BH_202,253.779,-40.947,344.259,1.598,0.064,95,-1.869,0.125,-3.802,0.11,0.551,0.052,8.58,1.84,11.22,1752.0,1686.0,-475.0,48.0,6670.0
BH_205,254.053,-40.636,344.632,1.632,0.097,55,-0.15,0.145,-1.083,0.193,0.569,0.065,6.79,1.23,11.03,1604.0,1546.0,-425.0,45.0,6806.0
BH_211,255.535,-41.113,344.95,0.456,0.082,71,-0.671,0.159,-1.943,0.146,0.524,0.101,8.63,2.18,11.4,1903.0,1837.0,-494.0,15.0,6520.0
BH_217,259.071,-40.815,346.781,-1.51,0.039,99,-0.661,0.135,-1.826,0.122,0.31,0.109,7.54,3.27,12.46,3106.0,3023.0,-710.0,-81.0,5363.0
BH_221,259.641,-32.334,353.972,3.014,0.152,133,2.0,0.279,-1.568,0.243,0.884,0.079,7.03,1.09,10.42,1213.0,1204.0,-127.0,63.0,7136.0
BH_222,259.694,-38.289,349.121,-0.443,0.02,104,-2.091,0.341,-3.192,0.245,0.114,0.183,,,,,,,,
BH_23,123.449,-36.329,253.969,-1.03,0.372,86,-7.101,0.258,7.35,0.154,2.257,0.103,7.46,0.0,8.32,462.0,-127.0,-444.0,-8.0,8479.0
BH_245,266.561,-29.7,359.419,-0.513,0.016,31,-0.497,0.219,-2.194,0.199,0.336,0.107,,,,,,,,
BH_37,128.946,-43.61,262.345,-1.785,0.034,101,-3.484,0.117,3.953,0.116,0.243,0.063,8.24,3.4,13.03,4038.0,-537.0,-4000.0,-125.0,9737.0
BH_54,132.413,-44.353,264.468,-0.279,0.048,42,-4.759,0.077,5.244,0.098,0.42,0.035,6.94,2.53,11.76,2245.0,-216.0,-2235.0,-10.0,8843.0
BH_55,134.042,-39.518,261.527,3.745,0.048,60,-3.971,0.126,3.118,0.116,0.185,0.071,9.36,1.22,13.4,4783.0,-703.0,-4721.0,312.0,10201.0
BH_56,134.355,-43.181,264.47,1.548,0.215,109,-5.57,0.187,5.439,0.151,1.078,0.058,7.25,0.7,9.62,840.0,-81.0,-836.0,22.0,8462.0
BH_66,141.314,-54.719,276.0,-3.013,0.023,27,-4.157,0.095,3.599,0.07,0.097,0.042,8.86,1.38,14.0,6301.0,657.0,-6258.0,-331.0,9908.0
BH_67,141.687,-51.273,273.763,-0.381,0.025,43,-3.64,0.164,2.811,0.125,0.098,0.111,8.79,3.0,14.56,8167.0,536.0,-8149.0,-54.0,11283.0
BH_72,142.838,-53.04,275.491,-1.178,0.023,55,-4.621,0.131,3.299,0.07,0.11,0.053,8.35,2.53,13.83,5844.0,559.0,-5816.0,-120.0,9714.0
BH_73,142.981,-50.225,273.638,0.944,0.014,54,-3.574,0.239,2.306,0.187,0.105,0.117,8.87,2.73,14.13,6708.0,425.0,-6693.0,110.0,10365.0
BH_78,145.952,-56.574,279.186,-2.615,0.013,46,-3.69,0.196,2.71,0.174,0.15,0.097,8.53,3.15,13.66,5400.0,861.0,-5325.0,-246.0,9181.0
BH_84,150.331,-58.218,282.057,-2.418,0.024,57,-4.848,0.154,3.289,0.106,0.2,0.055,8.13,2.09,13.24,4449.0,928.0,-4347.0,-187.0,8592.0
BH_85,150.469,-49.564,276.914,4.546,0.031,74,-5.689,0.187,4.676,0.144,0.106,0.095,9.36,1.1,14.37,7481.0,897.0,-7403.0,592.0,10497.0
BH_87,151.148,-55.386,280.724,0.122,0.066,177,-6.335,0.128,2.626,0.128,0.416,0.057,8.07,1.36,11.63,2121.0,394.0,-2084.0,4.0,8214.0
BH_90,153.064,-58.069,283.139,-1.451,0.043,126,-5.385,0.149,2.295,0.122,0.369,0.055,8.1,1.39,12.23,2792.0,634.0,-2718.0,-70.0,8170.0
BH_92,154.779,-56.425,282.988,0.431,0.02,41,-5.896,0.106,3.446,0.111,0.388,0.031,8.33,1.33,11.89,2384.0,535.0,-2323.0,17.0,8142.0
BH_99,159.553,-59.168,286.585,-0.592,0.537,371,-14.494,0.289,0.919,0.307,2.225,0.076,7.98,0.34,8.35,467.0,133.0,-447.0,-4.0,8218.0
Barkhatova_1,313.398,46.037,86.208,0.818,0.072,47,-2.44,0.098,-4.478,0.076,0.476,0.04,8.42,1.18,11.71,2195.0,145.0,2190.0,31.0,8482.0
Basel_1,282.036,-5.876,27.326,-1.946,0.07,79,-0.079,0.104,-4.509,0.109,0.525,0.052,8.36,1.24,11.33,1846.0,1639.0,846.0,-62.0,6754.0
Basel_10,34.878,58.304,134.304,-2.61,0.032,8,-0.48,0.18,-0.815,0.062,0.442,0.017,7.85,1.66,11.83,2327.0,-1623.0,1663.0,-105.0,10101.0
Basel_11a,109.296,-13.988,228.284,-0.768,0.078,92,-1.581,0.135,0.929,0.125,0.709,0.06,7.98,0.33,10.67,1363.0,-907.0,-1017.0,-18.0,9302.0
Basel_11b,89.547,21.965,187.442,-1.117,0.065,73,1.046,0.136,-4.137,0.14,0.534,0.083,8.36,1.56,11.27,1793.0,-1778.0,-232.0,-34.0,10121.0
Basel_17,167.65,-59.047,290.274,1.324,0.091,18,-6.628,0.083,2.174,0.087,0.438,0.03,8.02,0.45,11.81,2305.0,798.0,-2162.0,53.0,7845.0
Basel_18,201.967,-62.306,307.151,0.267,0.06,49,-5.008,0.08,-2.05,0.096,0.508,0.057,7.44,0.65,11.35,1863.0,1125.0,-1485.0,8.0,7366.0
Basel_4,87.242,30.19,179.305,1.272,0.033,45,0.835,0.079,-1.801,0.076,0.286,0.051,8.05,1.48,12.61,3322.0,-3321.0,40.0,73.0,11661.0
Basel_8,98.55,8.005,203.849,-0.156,0.309,14,-0.129,0.07,-2.373,0.155,0.625,0.038,7.84,0.64,10.9,1510.0,-1381.0,-610.0,-4.0,9740.0
Berkeley_1,2.449,60.476,117.82,-1.982,0.036,48,-2.758,0.12,-0.173,0.087,0.235,0.058,8.48,1.52,12.89,3779.0,-1762.0,3340.0,-130.0,10640.0
Berkeley_10,54.894,66.486,138.619,8.881,0.082,179,-1.47,0.07,1.047,0.106,0.372,0.054,9.08,1.94,11.87,2365.0,-1753.0,1544.0,365.0,10211.0
Berkeley_100,351.485,63.781,113.657,2.459,0.022,31,-3.372,0.186,-1.557,0.181,0.123,0.07,9.09,2.48,13.92,6084.0,-2439.0,5567.0,261.0,12132.0
Berkeley_101,353.213,64.209,114.511,2.63,0.024,38,-1.899,0.095,-1.089,0.121,0.177,0.052,8.58,2.84,13.15,4272.0,-1770.0,3883.0,196.0,10830.0
Berkeley_102,354.66,56.637,113.006,-4.826,0.049,21,-1.559,0.147,-0.34,0.074,0.05,0.06,9.59,1.11,15.11,10519.0,-4096.0,9648.0,-885.0,15740.0
Berkeley_103,356.303,59.297,114.558,-2.494,0.022,33,-1.348,0.179,-0.861,0.11,0.093,0.104,9.04,2.4,13.91,6060.0,-2516.0,5506.0,-263.0,12173.0
Berkeley_104,0.865,63.587,117.626,1.211,0.038,47,-2.392,0.103,0.09,0.071,0.198,0.041,8.89,1.36,13.18,4325.0,-2005.0,3831.0,91.0,11032.0
Berkeley_11,65.126,44.922,157.066,-3.65,0.038,76,1.08,0.173,-1.883,0.108,0.322,0.077,7.84,2.51,12.42,3050.0,-2803.0,1186.0,-194.0,11206.0
Berkeley_12,71.1,42.691,161.64,-2.014,0.036,76,0.836,0.185,-1.713,0.129,0.202,0.122,9.3,2.16,13.17,4298.0,-4077.0,1353.0,-151.0,12490.0
Berkeley_13,73.943,52.809,155.069,5.919,0.065,135,-0.078,0.141,0.558,0.108,0.208,0.098,8.69,2.09,12.99,3958.0,-3570.0,1659.0,408.0,12025.0
Berkeley_14,74.935,43.488,162.805,0.655,0.051,189,1.504,0.228,0.426,0.204,0.187,0.108,9.43,1.4,13.47,4933.0,-4712.0,1458.0,56.0,13134.0
Berkeley_14A,75.278,43.429,163.004,0.814,0.426,4,-0.225,0.052,-2.741,0.098,0.882,0.032,,,,,,,,
Berkeley_15,75.52,44.506,162.26,1.612,0.06,114,0.782,0.145,-0.872,0.137,0.339,0.075,7.27,2.64,12.36,2958.0,-2816.0,901.0,83.0,11192.0
Berkeley_17,80.13,30.574,175.658,-3.677,0.071,254,2.618,0.281,-0.35,0.176,0.281,0.106,9.86,1.63,12.62,3341.0,-3325.0,252.0,-214.0,11668.0
Berkeley_18,80.531,45.442,163.589,5.03,0.117,253,0.849,0.16,-0.057,0.14,0.152,0.088,9.64,1.53,13.75,5632.0,-5382.0,1585.0,493.0,13813.0
Berkeley_19,81.014,29.575,176.917,-3.61,0.037,45,0.757,0.234,-0.329,0.128,0.135,0.111,9.34,0.85,14.09,6568.0,-6546.0,352.0,-413.0,14890.0
Berkeley_2,6.319,60.392,119.703,-2.316,0.027,73,-1.101,0.125,-0.304,0.102,0.117,0.072,8.77,2.34,14.2,6928.0,-3430.0,6012.0,-279.0,13217.0
Berkeley_20,83.152,0.185,203.485,-17.377,0.015,37,0.808,0.258,-0.244,0.16,0.04,0.104,9.68,0.37,14.7,8728.0,-7639.0,-3319.0,-2606.0,16320.0
Berkeley_21,87.93,21.812,186.817,-2.49,0.031,27,0.562,0.164,-1.051,0.101,0.159,0.108,9.33,1.96,14.04,6417.0,-6366.0,-761.0,-278.0,14726.0
Berkeley_22,89.618,7.763,199.874,-8.071,0.022,18,0.648,0.134,-0.473,0.137,0.069,0.065,9.39,1.99,13.97,6225.0,-5796.0,-2095.0,-874.0,14291.0
Berkeley_23,98.318,20.535,192.595,5.392,0.038,91,-0.055,0.149,-1.339,0.126,0.151,0.089,9.02,0.83,13.67,5425.0,-5271.0,-1177.0,509.0,13661.0
Berkeley_24,99.452,-0.874,212.156,-3.431,0.051,218,0.382,0.178,1.279,0.184,0.156,0.083,9.15,1.74,13.45,4900.0,-4141.0,-2603.0,-293.0,12749.0
Berkeley_25,100.317,-16.487,226.613,-9.629,0.019,20,-0.114,0.122,0.845,0.16,0.077,0.037,9.39,1.07,14.16,6780.0,-4591.0,-4858.0,-1134.0,13814.0
Berkeley_27,102.837,5.772,207.781,2.609,0.02,54,-1.091,0.15,0.147,0.138,0.19,0.126,9.23,1.23,13.42,4835.0,-4273.0,-2251.0,220.0,12812.0
Berkeley_28,103.028,2.922,210.408,1.482,0.021,53,-0.987,0.102,0.154,0.124,0.209,0.112,8.54,1.6,13.4,4789.0,-4129.0,-2423.0,123.0,12702.0
Berkeley_29,103.268,16.93,197.947,7.982,0.014,11,0.151,0.067,-1.01,0.104,0.023,0.053,9.49,0.24,15.5,12604.0,-11874.0,-3846.0,1750.0,20577.0
Berkeley_30,104.438,3.229,210.775,2.875,0.024,85,-0.252,0.174,-0.33,0.134,0.164,0.078,8.47,1.27,13.66,5383.0,-4619.0,-2751.0,270.0,13248.0
Berkeley_31,104.406,8.285,206.24,5.134,0.031,95,0.169,0.186,-0.926,0.161,0.141,0.118,9.45,0.35,14.28,7177.0,-6412.0,-3160.0,642.0,15087.0
Berkeley_32,104.53,6.433,207.955,4.409,0.063,361,-0.335,0.176,-1.608,0.179,0.28,0.076,9.69,0.34,12.44,3072.0,-2706.0,-1436.0,236.0,11139.0
Berkeley_33,104.456,-13.227,225.448,-4.6,0.032,126,-0.73,0.117,1.551,0.137,0.144,0.07,8.37,1.75,13.84,5851.0,-4092.0,-4156.0,-469.0,13108.0
Berkeley_34,105.097,-0.239,214.165,1.882,0.024,30,-1.336,0.153,0.175,0.183,0.097,0.126,9.38,1.64,14.41,7609.0,-6292.0,-4271.0,249.0,15243.0
Berkeley_35,107.491,2.734,212.606,5.367,0.039,83,-0.58,0.1,-0.235,0.084,0.16,0.064,9.07,0.43,13.38,4745.0,-3980.0,-2546.0,443.0,12580.0
