Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc
Ruprecht_60,126.105,-47.207,264.095,-5.508,0.04,109,-3.788,0.116,5.401,0.107,0.186,0.053,8.99,1.05,13.18,4322.0,-442.0,-4279.0,-414.0,9769.0
Ruprecht_61,126.327,-34.135,253.487,2.148,0.03,17,-2.556,0.203,3.866,0.185,0.271,0.08,,,,,,,,
Ruprecht_63,128.169,-48.304,265.801,-5.014,0.063,84,-2.541,0.089,3.229,0.085,0.216,0.051,8.76,1.21,13.02,4009.0,-292.0,-3983.0,-350.0,9507.0
Ruprecht_65,129.838,-44.041,263.077,-1.533,0.09,33,-4.746,0.081,4.245,0.058,0.412,0.038,7.36,1.71,11.91,2405.0,-289.0,-2387.0,-64.0,8953.0
Ruprecht_66,130.142,-38.071,258.487,2.291,0.041,106,-3.115,0.086,3.085,0.089,0.222,0.049,9.15,1.54,12.82,3659.0,-729.0,-3583.0,146.0,9751.0
Ruprecht_67,130.464,-43.363,262.818,-0.761,0.058,53,-4.42,0.159,3.646,0.127,0.624,0.046,8.63,1.26,11.03,1607.0,-200.0,-1594.0,-21.0,8688.0
Ruprecht_68,131.147,-35.9,257.266,4.259,0.074,329,-2.619,0.111,5.61,0.127,0.301,0.058,9.26,1.09,12.41,3040.0,-668.0,-2957.0,225.0,9481.0
Ruprecht_71,132.316,-46.875,266.379,-1.926,0.059,39,-5.22,0.079,4.642,0.076,0.486,0.038,7.33,0.93,11.33,1844.0,-116.0,-1839.0,-61.0,8654.0
Ruprecht_75,140.486,-56.314,276.788,-4.477,0.022,39,-6.118,0.116,4.995,0.089,0.202,0.047,9.23,0.39,12.98,3938.0,464.0,-3898.0,-307.0,8788.0
Ruprecht_76,141.077,-51.651,273.753,-0.916,0.057,37,-6.571,0.065,3.601,0.085,0.466,0.028,8.49,1.12,11.44,1940.0,126.0,-1935.0,-31.0,8438.0
Ruprecht_77,141.821,-55.119,276.488,-3.097,0.045,17,-6.286,0.053,4.84,0.058,0.242,0.041,7.09,1.92,13.07,4108.0,463.0,-4076.0,-221.0,8868.0
Ruprecht_78,142.282,-53.696,275.699,-1.883,0.036,74,-3.892,0.214,3.252,0.144,0.097,0.088,,,,,,,,
Ruprecht_79,145.259,-53.846,277.102,-0.809,0.052,147,-4.631,0.09,2.995,0.088,0.221,0.046,7.79,1.98,12.9,3806.0,470.0,-3777.0,-53.0,8728.0
Ruprecht_8,105.424,-13.539,226.153,-3.901,0.147,46,-1.02,0.099,-1.424,0.087,0.444,0.047,8.6,1.03,11.76,2251.0,-1555.0,-1619.0,-153.0,10027.0
Ruprecht_82,146.421,-54.004,277.724,-0.484,0.063,93,-6.443,0.083,4.348,0.094,0.43,0.038,8.66,0.95,11.71,2201.0,295.0,-2180.0,-18.0,8334.0
Ruprecht_83,147.307,-54.611,278.509,-0.619,0.03,73,-4.639,0.115,2.897,0.108,0.217,0.053,8.05,2.38,12.84,3706.0,548.0,-3665.0,-40.0,8610.0
Ruprecht_84,147.281,-65.259,285.325,-8.825,0.06,63,-6.963,0.111,3.997,0.109,0.491,0.056,8.54,0.45,11.19,1732.0,452.0,-1651.0,-265.0,8058.0
Ruprecht_85,150.36,-55.109,280.199,0.076,0.034,108,-4.443,0.116,3.241,0.113,0.169,0.058,8.31,2.61,13.41,4803.0,850.0,-4727.0,6.0,8856.0
Ruprecht_91,161.964,-57.483,286.903,1.492,0.23,193,-11.179,0.132,2.421,0.149,0.927,0.048,8.14,0.19,10.15,1070.0,311.0,-1023.0,27.0,8093.0
Ruprecht_93,166.037,-61.372,290.444,-1.129,0.074,79,-6.411,0.095,3.104,0.074,0.436,0.028,8.39,0.7,11.66,2150.0,750.0,-2014.0,-42.0,7851.0
Ruprecht_94,172.772,-63.426,294.089,-1.943,0.213,47,-6.378,0.076,0.769,0.086,0.369,0.031,7.39,0.82,11.76,2244.0,915.0,-2047.0,-76.0,7701.0
Ruprecht_96,177.67,-62.14,295.899,-0.101,0.049,73,-5.491,0.066,0.806,0.069,0.27,0.046,7.67,1.39,12.58,3280.0,1432.0,-2951.0,-5.0,7511.0
Ruprecht_97,179.369,-62.708,296.791,-0.481,0.03,23,-6.486,0.069,0.435,0.066,0.199,0.033,8.25,1.4,12.95,3890.0,1753.0,-3472.0,-32.0,7445.0
Ruprecht_98,179.715,-64.581,297.326,-2.283,0.835,110,-4.114,0.355,-8.632,0.264,2.044,0.07,8.69,0.36,8.52,506.0,232.0,-449.0,-20.0,8119.0
SAI_108,144.729,-52.947,276.271,-0.343,0.049,34,-4.931,0.135,3.681,0.116,0.258,0.066,8.08,1.55,12.79,3606.0,393.0,-3584.0,-21.0,8717.0
SAI_109,145.902,-50.797,275.406,1.754,0.044,65,-4.378,0.154,3.825,0.168,0.095,0.094,9.02,1.78,14.27,7159.0,674.0,-7124.0,219.0,10465.0
SAI_113,155.685,-59.51,285.068,-1.898,0.031,63,-5.76,0.165,2.975,0.207,0.179,0.087,6.95,2.84,13.6,5241.0,1361.0,-5058.0,-173.0,8618.0
SAI_116,177.324,-62.226,295.762,-0.222,0.048,135,-7.729,0.141,1.339,0.096,0.206,0.06,8.1,2.14,13.08,4130.0,1795.0,-3719.0,-16.0,7528.0
SAI_118,205.811,-63.146,308.743,-0.861,0.088,108,-4.401,0.114,-2.335,0.092,0.514,0.039,7.5,0.93,11.31,1829.0,1144.0,-1426.0,-27.0,7335.0
SAI_132,299.248,31.609,68.116,1.44,0.07,132,-2.378,0.093,-4.135,0.114,0.277,0.051,8.9,2.3,12.47,3118.0,1162.0,2893.0,78.0,7739.0
SAI_14,21.504,62.624,126.895,0.019,0.036,41,-1.886,0.11,-1.058,0.133,0.23,0.062,9.13,2.68,13.01,3999.0,-2401.0,3198.0,1.0,11207.0
SAI_149,354.506,60.541,114.022,-1.054,0.043,23,-3.901,0.151,-1.633,0.113,0.304,0.059,8.45,2.92,12.67,3426.0,-1394.0,3128.0,-63.0,10225.0
SAI_16,31.366,62.265,131.427,0.62,0.06,24,-0.725,0.073,-0.305,0.121,0.157,0.065,9.0,2.68,13.45,4893.0,-3237.0,3668.0,52.0,12144.0
SAI_17,35.218,59.188,134.173,-1.717,0.026,26,-0.123,0.227,-0.682,0.121,0.148,0.079,9.07,2.49,13.91,6065.0,-4224.0,4348.0,-181.0,13295.0
SAI_24,44.816,60.566,138.013,1.493,0.111,84,-0.201,0.137,0.114,0.142,0.446,0.043,6.84,1.85,11.76,2248.0,-1670.0,1503.0,58.0,10123.0
SAI_25,45.109,57.307,139.688,-1.307,0.115,23,0.608,0.354,-1.205,0.263,0.372,0.1,6.2,4.24,12.12,2651.0,-2021.0,1714.0,-60.0,10502.0
SAI_4,5.895,62.712,119.745,0.013,0.049,43,-3.095,0.094,-0.551,0.099,0.314,0.047,8.02,1.52,12.54,3226.0,-1600.0,2801.0,0.0,10327.0
SAI_47,81.0,42.315,166.373,3.551,0.021,12,0.092,0.146,-0.335,0.109,0.188,0.032,7.8,1.4,13.35,4683.0,-4542.0,1101.0,290.0,12929.0
SAI_72,103.973,0.232,213.233,1.097,0.035,6,-0.325,0.033,0.065,0.044,0.242,0.05,,,,,,,,
