,_Glon,_Glat,Cluster,RA_ICRS,DE_ICRS,N,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,RV,e_RV,Dist,e_Dist,logage,e_logage,[Fe/H],e_[Fe/H],Av,e_Av,dr3_rv,e_dr3_rv,N_stars_dr3_rv,ra_duarte,dec_duarte
1363,318.070158,4.234717,UBC_302,220.1552,-55.3951,33,-4.847,0.111,-4.153,0.09,0.829,0.036,,,1180,19,8.875,0.071,-0.046,0.11,1.172,0.199,-18.452719753663416,0.4783493561650107,3.0,220.1703937100704,-55.37737777536754
1364,318.578843,3.042519,UBC_303,221.8683,-56.2631,74,-4.844,0.101,-3.866,0.085,0.536,0.039,-49.116,0.239,1667,129,8.873,0.427,0.105,0.18,1.639,0.324,-45.59164048538208,1.3074261189619871,11.0,221.8542650724851,-56.26277417982823
1365,163.284049,-14.512044,UBC_31,61.1114,32.8431,152,3.741,0.212,-5.42,0.208,2.725,0.094,20.259,2.919,379,2,7.418,0.495,0.425,0.013,1.573,0.195,18.701879550750807,2.5282831836087,62.0,60.77433579384348,32.63862802060917
1366,335.529728,0.925066,UBC_315,246.3678,-47.9304,197,-2.748,0.175,-3.783,0.081,0.414,0.068,-54.65,0.943,1968,84,7.91,0.284,0.313,0.119,2.485,0.073,-53.1873472003124,0.8129626118281045,12.0,246.382472679109,-47.9342016535484
1367,336.594355,-0.262199,UBC_316,248.748,-47.9732,72,-3.049,0.099,-3.153,0.082,0.553,0.059,-24.644,0.772,1643,34,8.717,0.307,0.199,0.078,2.655,0.136,-25.121641549351544,0.6646620446386075,5.0,248.73884543999736,-47.9800235966148
1368,337.493984,-1.181434,UBC_317,250.6662,-47.9159,70,-3.135,0.11,-4.635,0.1,0.428,0.05,-60.253,0.276,2135,77,8.707,0.171,0.285,0.136,2.096,0.061,-63.28390636823036,0.5691742202484019,5.0,250.66134139448843,-47.899340401205656
1369,339.408385,1.402996,UBC_319,249.698,-44.7699,97,-0.746,0.106,-2.726,0.107,0.715,0.043,,,1329,52,8.017,0.275,0.348,0.133,1.712,0.093,-14.365671542393226,0.7592842948828532,9.0,249.6848354875408,-44.767862027505046
1370,342.362338,-1.243379,UBC_322,255.2,-44.1993,200,-0.7,0.15,-1.729,0.131,0.349,0.065,-35.597,0.665,2881,342,6.79,0.719,0.347,0.199,3.206,0.097,-36.26307577705444,0.6098786745586404,16.0,255.20591327141065,-44.18979538391147
1371,350.228576,1.844859,UBC_326,258.1652,-36.0577,106,-1.095,0.167,-2.783,0.105,0.572,0.068,-67.456,0.966,1542,66,8.58,0.228,0.179,0.128,2.829,0.16,-67.12302690491715,0.6056207296363053,17.0,258.16460579945283,-36.067279305130825
1372,6.098595,-1.957311,UBC_337,271.738,-24.6502,128,0.486,0.138,-0.724,0.11,0.541,0.063,4.344,0.424,1721,52,6.865,0.136,0.088,0.198,2.987,0.188,3.893462574527939,0.5135591678613691,11.0,271.7368850328446,-24.655622179474
